Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
COMM 20.03,A,INTRODUCTION TO COMMUNICATION AND COMMUNICATION THEORY,3,"M-TH 0800-0930
(FULLY ONSITE)",SS CSR,"TY, ANDREW ALBERT J.",35,ENG,U,35,-,N,N
COMM 20.03,J,INTRODUCTION TO COMMUNICATION AND COMMUNICATION THEORY,3,"T-F 0800-0930
(FULLY ONSITE)",SS CONF 5,"PARIS, Janella Grace",30,ENG,U,30,-,N,N
COMM 20.03,K,INTRODUCTION TO COMMUNICATION AND COMMUNICATION THEORY,3,"T-F 0930-1100
(FULLY ONSITE)",SS CSR,"PARIS, Janella Grace",35,ENG,U,35,-,N,N
COMM 20.03,N,INTRODUCTION TO COMMUNICATION AND COMMUNICATION THEORY,3,"T-F 1400-1530
(FULLY ONSITE)",SS CONF 5,"PARIS, Janella Grace",30,ENG,U,30,-,N,N
COMM 20.04,J,THEORIES OF HUMAN COMMUNICATION,3,"T-F 0800-0930
(FULLY ONSITE)",SS CSR,"TY, ANDREW ALBERT J.",49,ENG,U,49,-,N,N
COMM 20,E,COMMUNICATION THEORY,3,"M-TH 1400-1530
(FULLY ONSITE)",SS CSR,"VASWANI, SERENA M.",30,ENG,U,30,-,N,N
COMM 20,F,COMMUNICATION THEORY,3,"M-TH 1530-1700
(FULLY ONSITE)",SS CSR,"VASWANI, SERENA M.",30,ENG,U,30,-,N,N
COMM 20,L,COMMUNICATION THEORY,3,"T-F 1100-1230
(FULLY ONSITE)",SS CSR,"TY, ANDREW ALBERT J.",30,ENG,U,30,-,N,N
COMM 20,N,COMMUNICATION THEORY,3,"T-F 1400-1530
(FULLY ONSITE)",SS CSR,"COX, CHRISTINE ANNE R.",30,ENG,U,30,-,N,N
COMM 20,O,COMMUNICATION THEORY,3,"T-F 1530-1700
(FULLY ONSITE)",SS CSR,"COX, CHRISTINE ANNE R.",30,ENG,U,30,-,N,N
COMM 23,D,COMMUNICATION FOR SOCIAL CHANGE,3,"M-TH 1230-1400
(FULLY ONSITE)",SS CONF 5,"HERNANDO, Leonor",30,ENG,U,30,-,N,N
COMM 23,E,COMMUNICATION FOR SOCIAL CHANGE,3,"M-TH 1400-1530
(FULLY ONSITE)",SS CONF 5,"HERNANDO, Leonor",30,ENG,U,30,-,N,N
COMM 23,ST1,COMMUNICATION FOR SOCIAL CHANGE,3,"W 0800-1100
(FULLY ONSITE)",SS CONF 6,"CUENCO, JOSE AGUSTIN C.",30,ENG,U,30,-,N,N
COMM 27,E,VISUAL THINKING FOR COMMUNICATION MANAGERS,3,"M-TH 1400-1530
(FULLY ONSITE)",SS CONF 6,"SANDOVAL, Christian Hereson",30,ENG,U,30,-,N,N
COMM 27,F,VISUAL THINKING FOR COMMUNICATION MANAGERS,3,"M-TH 1530-1700
(FULLY ONSITE)",SS CONF 6,"SANDOVAL, Christian Hereson",30,ENG,U,30,-,N,N
COMM 27,M,VISUAL THINKING FOR COMMUNICATION MANAGERS,3,"T-F 1230-1400
(FULLY ONSITE)",SS-280,"VICENCIO, AARON R.",30,ENG,U,30,*For grad students WITH programming background,N,N
COMM 27,YYY,VISUAL THINKING FOR COMMUNICATION MANAGERS,3,"TBA
(FULLY ONSITE)",SS CONF 5,"LACSON, KATHERINE G.",30,ENG,U,30,-,N,N
COMM 31,ST1,ADVERTISING PRACTICES AND PRINCIPLES,3,"W 0800-1100
(FULLY ONSITE)",SS-280,"LOPEZ, CLAIRE DRUECO",32,ENG,U,32,-,N,N
COMM 31,UV1,ADVERTISING PRACTICES AND PRINCIPLES,3,"W 1100-1400
(FULLY ONSITE)",SS-280,"LOPEZ, CLAIRE DRUECO",32,ENG,U,32,-,N,N
COMM 36,ST1,INTRODUCTION TO PRODUCTION (RADIO),3,"W 0800-1100
(FULLY ONSITE)",SS CONF 5,"PEREZ, ANNA CIELO T.",20,ENG,U,20,-,N,N
COMM 38.03,GM,ADVANCED VIDEO/TV PRODUCTION,3,"M 1700-2000
(FULLY ONSITE)",SS CONF 6,"LOPEZ, GLEN CHARLES N.",20,ENG,U,20,-,N,N
COMM 38,ST1,BASIC VIDEO/TV PRODUCTION TECHNIQUES,3,"W 0800-1100
(FULLY ONSITE)",COM STUD,"SALTARIN, PAULINE M.",25,ENG,U,25,-,N,N
COMM 38,WX1,BASIC VIDEO/TV PRODUCTION TECHNIQUES,3,"W 1400-1700
(FULLY ONSITE)",SS CONF 5,"TORRES, JONATHAN D.",25,ENG,U,25,-,N,N
COMM 38,WX1A,BASIC VIDEO/TV PRODUCTION TECHNIQUES,3,"W 1400-1700
(FULLY ONSITE)",SS-280,"MAGONCIA, Jeremiah",25,ENG,U,25,-,N,N
COMM 41,WX1,PRODUCTION DESIGN AND MANAGEMENT,3,"W 1400-1700
(FULLY ONSITE)",SS CONF 6,"VALBUENA, VICTOR T.",20,ENG,U,20,-,N,N
COMM 42,LMTUE,WRITING FOR FILM,3,"T 1100-1400
(FULLY ONSITE)",SS CONF 6,"DOMINGO, GAY ACE M.",20,ENG,U,20,-,N,N
COMM 61,B,ELEMENTS OF SCREEN ART,3,"M-TH 0930-1100
(FULLY ONSITE)",SS CSR,"TY, ANDREW ALBERT J.",20,ENG,U,20,-,N,N
COMM 76,A,INTRODUCTION TO JOURNALISM,3,"M-TH 0800-0930
(FULLY ONSITE)",SS CONF 6,"REMOTO, DANTON R.",25,ENG,U,25,-,N,N
COMM 79.1,M,NEWS MEDIA SYSTEMS AND MANAGEMENT,3,"T-F 1230-1400
(FULLY ONSITE)",SS CSR,"RIMBAN, LUZ R.",20,ENG,U,20,-,N,N
COMM 111,A,CREATIVITY AND PROBLEM AWARENESS,3,"M-TH 0800-0930
(FULLY ONSITE)",SS CONF 5,"QUE, GILBERT JACOB S.",23,ENG,U,23,-,N,N
COMM 111,B,CREATIVITY AND PROBLEM AWARENESS,3,"M-TH 0930-1100
(FULLY ONSITE)",SS CONF 5,"QUE, GILBERT JACOB S.",23,ENG,U,23,-,N,N
COMM 111,E,CREATIVITY AND PROBLEM AWARENESS,3,"M-TH 1400-1530
(FULLY ONSITE)",SS-280,"PONCE DE LEON, MARIA INEZ ANGELA Z.",23,ENG,U,23,-,N,N
COMM 111,F,CREATIVITY AND PROBLEM AWARENESS,3,"M-TH 1530-1700
(FULLY ONSITE)",SS-280,"PONCE DE LEON, MARIA INEZ ANGELA Z.",25,ENG,U,25,-,N,N
COMM 111,J,CREATIVITY AND PROBLEM AWARENESS,3,"T-F 0800-0930
(FULLY ONSITE)",SS-280,"QUE, GILBERT JACOB S.",23,ENG,U,23,-,N,N
COMM 111,K,CREATIVITY AND PROBLEM AWARENESS,3,"T-F 0930-1100
(FULLY ONSITE)",SS-280,"VICENCIO, AARON R.",23,ENG,U,23,-,N,N
COMM 115,GM,ADVERTISING MANAGEMENT,3,"M 1700-2000
(FULLY ONSITE)",SS-280,"LOPEZ, CLAIRE DRUECO",20,ENG,U,20,-,N,N
COMM 116,UV1,SOCIAL MARKETING,3,"W 1100-1400
(FULLY ONSITE)",SS CONF 6,"CUENCO, JOSE AGUSTIN C.",25,ENG,U,25,-,N,N
COMM 120,O,INTRODUCTION TO MEDIA STUDIES,3,"T-F 1530-1700
(FULLY ONSITE)",SS CONF 5,"PARIS, Janella Grace",20,ENG,U,20,-,N,N
COMM 122.03,B,MEDIA AND SOCIETY: AUDIENCE STUDIES,3,"M-TH 0930-1100
(FULLY ONSITE)",SS CONF 6,"VASWANI, SERENA M.",20,ENG,U,20,-,N,N
COMM 180.16,WX1,SPECIAL TOPICS IN PRINT JOURNALISM: WRITING ABOUT CULTURE,3,"W 1400-1700
(FULLY ONSITE)",SS CSR,"DE VERA, RUEL S.",20,ENG,U,20,-,N,N
COMM 182.14,GTH,SPECIAL TOPICS IN ADVERTISING: STRATEGIC PLANNING,3,"TH 1700-2000
(FULLY ONSITE)",SS-280,"AGATEP, NORMAN TIMOTHY A.",20,ENG,U,20,-,N,N
COMM 183.04,C,SPECIAL TOPICS IN CULTURE AND COMMUNICATION: COMMUNICATION AND ENVIRONMENT,3,"M-TH 1100-1230
(FULLY ONSITE)",SS CONF 6,"PONCE DE LEON, MARIA INEZ ANGELA Z.",20,ENG,U,20,-,N,N
COMM 186.06,UV1,SPECIAL TOPICS IN FILM PRODUCTION: DOCUMENTARY FILM,3,"W 1100-1400
(FULLY ONSITE)",SS CONF 5,"TORRES, JONATHAN D.",20,ENG,U,20,-,N,N
