Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
CSP 11,A,CHINESE MANDARIN AND CULTURE 1,3,"M-TH 0800-0930
(FULLY ONSITE)",CTC 204,"CHIANG, Jarred Irwin",18,ENG,U,18,-,N,N
CSP 11,B,CHINESE MANDARIN AND CULTURE 1,3,"M-TH 0930-1100
(FULLY ONSITE)",CTC 204,"CHIANG, Jarred Irwin",18,ENG,U,18,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
CSP 11,C,CHINESE MANDARIN AND CULTURE 1,3,"M-TH 1100-1230
(FULLY ONSITE)",CTC 204,"YUGIOKSING, JANE T.",18,~,U,18,-,N,N
CSP 11,L,CHINESE MANDARIN AND CULTURE 1,3,"T-F 1100-1230
(FULLY ONSITE)",CTC 204,"YUGIOKSING, JANE T.",18,~,U,18,-,N,N
CSP 11,M,CHINESE MANDARIN AND CULTURE 1,3,"T-F 1230-1400
(FULLY ONSITE)",TBA,"BATA, SIDNEY CHRISTOPHER T.",18,~,U,18,-,N,N
CSP 11,O,CHINESE MANDARIN AND CULTURE 1,3,"T-F 1530-1700
(FULLY ONSITE)",CTC 204,"YUGIOKSING, JANE T.",18,ENG,U,18,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
CSP 12,D,CHINESE MANDARIN AND CULTURE 2,3,"M-TH 1230-1400
(FULLY ONSITE)",CTC 204,"YUGIOKSING, JANE T.",18,~,U,18,-,N,N
CSP 12,M,CHINESE MANDARIN AND CULTURE 2,3,"T-F 1230-1400
(FULLY ONSITE)",CTC 204,"YUGIOKSING, JANE T.",18,~,U,18,-,N,N
CSP 14,L,INTERMEDIATE CHINESE 2,3,"T-F 1100-1230
(FULLY ONSITE)",LH 206,"SEE, DAISY C.",23,~,U,23,20 SLOT(S) FOR AB Dip IR MAJORS. 1 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR AB ChnS-AC MAJORS. 1 SLOT(S) FOR AB ChnS-B MAJORS.,N,N
CSP 31,ST2,MODERN CHINESE ECONOMY,3,"SAT 0800-1100
(FULLY ONSITE)",CTC 204,"MERCADO, GLORIA J.",30,ENG,U,30,-,N,N
CSP 33,F,CHINA'S FOREIGN POLICY,3,"M-TH 1530-1700
(FULLY ONSITE)",CTC 204,"YUGIOKSING, JANE T.",18,ENG,U,18,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
CSP 41,D,INTRODUCTION TO CHINESE LITERATURE,3,"M-TH 1230-1400
(FULLY ONSITE)",LH 206,"CHIANG, Jarred Irwin",10,ENG,U,10,-,N,N
CSP 60,M,TRADITIONAL CHINESE MEDICINE,3,"T-F 1230-1400
(FULLY ONSITE)",CTC 105,"NAVARRO, FRANCISCO V.",30,ENG,U,30,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
CSP 61i,N,SCIENCE AND TECHNOLOGY IN CHINA,3,"T-F 1400-1530
(FULLY ONSITE)",CTC 204,"BATA, SIDNEY CHRISTOPHER T.",30,~,U,30,-,N,N
CSP 62i,ST1,COMPARATIVE PERSPECTIVES IN HUMAN ANATOMY & PHYSIOLOGY,3,"W 0800-1100
(FULLY ONSITE)",CTC 204,"MANABAT, MARJORIE Y.",30,ENG,U,30,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
CSP 71i,J,CHINESE ART AND SOCIETY,3,"T-F 0800-0930
(FULLY ONSITE)",LH 206,"SEE, DAISY C.",30,ENG,U,30,-,N,N
CSP 71i,M,CHINESE ART AND SOCIETY,3,"T-F 1230-1400
(FULLY ONSITE)",LH 206,"SEE, DAISY C.",30,~,U,30,-,N,N
CSP 73,E,CONTEMPORARY CHINESE ART: AN INTRODUCTION,3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 204,"CHIANG, Jarred Irwin",30,~,U,30,-,N,N
CSP 90,B,HISTORY OF CHINA,3,"M-TH 0930-1100
(FULLY ONSITE)",SOM 103,"DOMINGO, DENZEL S.",30,ENG,U,30,-,N,N
