Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
ECON 110,D,PRINCIPLES OF ECONOMICS,3,"M-TH 1230-1400
(FULLY ONSITE)",K-302,"MAGANTE, Maire Carroline",30,ENG,U,30,6 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
ECON 110,E,PRINCIPLES OF ECONOMICS,3,"M-TH 1400-1530
(FULLY ONSITE)",K-302,"MAGANTE, Maire Carroline",30,ENG,U,30,-,N,N
ECON 110,K,PRINCIPLES OF ECONOMICS,3,"T-F 0930-1100
(FULLY ONSITE)",K-301,"BAUTISTA, CRISTINA M.",30,ENG,U,30,-,N,N
ECON 110,L,PRINCIPLES OF ECONOMICS,3,"T-F 1100-1230
(FULLY ONSITE)",K-301,"BAUTISTA, CRISTINA M.",35,ENG,U,35,2 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
ECON 110,N,PRINCIPLES OF ECONOMICS,3,"T-F 1400-1530
(FULLY ONSITE)",CTC 206,"MUYRONG, MARJORIE S.",30,ENG,U,30,-,N,N
ECON 110,WX1,PRINCIPLES OF ECONOMICS,3,"W 1400-1700
(FULLY ONSITE)",CTC 206,"BAUTISTA, CRISTINA M.",35,ENG,U,35,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
ECON 111,A,INTERMEDIATE MICROECONOMIC THEORY,3,"M-TH 0800-0930
(FULLY ONSITE)",EC DEPT,"LANZONA, LEONARDO, JR. A.",15,ENG,U,15,-,N,N
ECON 112,M,INTERMEDIATE MACROECONOMIC THEORY,3,"T-F 1230-1400
(FULLY ONSITE)",K-302,"SESCON, JOSELITO T.",35,ENG,U,35,2 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
ECON 113,UV2,ECONOMICS OF MONEY AND BANKING,3,"SAT 1100-1400
(FULLY ONSITE)",CTC 206,"LEDESMA, RODOLFO G.",28,ENG,U,28,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
ECON 113,WX2,ECONOMICS OF MONEY AND BANKING,3,"SAT 1400-1700
(FULLY ONSITE)",CTC 206,"LEDESMA, RODOLFO G.",28,ENG,U,28,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
ECON 114,A,INTERNATIONAL FINANCE,3,"M-TH 0800-0930
(FULLY ONSITE)",CTC 206,"DUMLAO, LUIS F.",30,ENG,U,30,-,N,N
ECON 115,D,INTRODUCTION TO MATHEMATICAL ECONOMICS,3,"M-TH 1230-1400
(FULLY ONSITE)",CTC 206,"BEJA, EDSEL, JR. L.",25,ENG,U,25,-,N,N
ECON 115,E,INTRODUCTION TO MATHEMATICAL ECONOMICS,3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 206,"BEJA, EDSEL, JR. L.",25,ENG,U,25,ALL SLOTS FOR 3RD YEAR AB EC MAJORS. ALL SLOTS FOR 3RD YEAR AB MEC MAJORS. ALL SLOTS FOR 3RD YEAR AB EC-H MAJORS. ALL SLOTS FOR 4TH YEAR AB EC MAJORS. ALL SLOTS FOR 4TH YEAR AB EC-H MAJORS. ALL SLOTS FOR 4TH YEAR AB MEC MAJORS.,N,N
ECON 115,K,INTRODUCTION TO MATHEMATICAL ECONOMICS,3,"T-F 0930-1100
(FULLY ONSITE)",CTC 206,"MUYRONG, MARJORIE S.",25,ENG,U,25,-,N,N
ECON 115,L,INTRODUCTION TO MATHEMATICAL ECONOMICS,3,"T-F 1100-1230
(FULLY ONSITE)",CTC 206,"MUYRONG, MARJORIE S.",25,ENG,U,25,ALL SLOTS FOR 3RD YEAR AB EC MAJORS. ALL SLOTS FOR 3RD YEAR AB EC-H MAJORS. ALL SLOTS FOR 3RD YEAR AB MEC MAJORS. ALL SLOTS FOR 4TH YEAR AB EC MAJORS. ALL SLOTS FOR 4TH YEAR AB EC-H MAJORS. ALL SLOTS FOR 4TH YEAR AB MEC MAJORS.,N,N
ECON 115,M,INTRODUCTION TO MATHEMATICAL ECONOMICS,3,"T-F 1230-1400
(FULLY ONSITE)",CTC 206,"BEJA, EDSEL, JR. L.",25,ENG,U,25,ALL SLOTS FOR 3RD YEAR AB EC MAJORS. ALL SLOTS FOR 3RD YEAR AB EC-H MAJORS. ALL SLOTS FOR 3RD YEAR AB MEC MAJORS.,N,N
ECON 121,B,DEVELOPMENT ECONOMICS,3,"M-TH 0930-1100
(FULLY ONSITE)",CTC 206,"LANZONA, LEONARDO, JR. A.",32,ENG,U,32,-,N,N
ECON 121,C,DEVELOPMENT ECONOMICS,3,"M-TH 1100-1230
(FULLY ONSITE)",K-301,"MAYO, Charlon",32,ENG,U,32,-,N,N
ECON 121,C1,DEVELOPMENT ECONOMICS,3,"M-TH 1100-1230
(FULLY ONSITE)",K-302,"LANZONA, LEONARDO, JR. A.",32,ENG,U,32,-,N,N
