Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
EDUC 224,YW,SUPERVISION OF CLASSROOM INSTRUCTION,3,"W 1700-2000
(FULLY ONLINE)",TBA,"MARTIN, MARIA ISABEL P.",20,ENG,G,20,"*Learning Collaboratory ONSITE Schedule: October 11, 12, 19, 2024 8:00AM to 5:00PM",N,N
ELM 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 298,CAPS,INTEGRATING PAPER,6,"TBA
(~)",TBA,"ALEJO, MA RESURRECCION P.",5,ENG,G,5,-,N,N
ELM 298,CAPS1,INTEGRATING PAPER,6,"TBA
(~)",TBA,"ESCAREZ, SOCORRO PERPETUAL E.",5,ENG,G,5,-,N,N
ELM 298,CAPS3,INTEGRATING PAPER,6,"TBA
(~)",TBA,"ORACION, CARMELA C.",5,ENG,G,5,-,N,N
ELM 299.1,THES/DISS1,THESIS I,0,"TBA
(~)",TBA,"MARTIN, MARIA ISABEL P.",5,ENG,G,5,-,N,N
ELM 299.19,TWPD,THESIS PROPOSAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS1,THESIS II,0,"TBA
(~)",TBA,"ALEJO, MA RESURRECCION P.",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS2,THESIS II,0,"TBA
(~)",TBA,"ALVAREZ, SJ, FR. FRANCIS",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS3,THESIS II,0,"TBA
(~)",TBA,"ESCAREZ, SOCORRO PERPETUAL E.",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS4,THESIS II,0,"TBA
(~)",TBA,"MARTIN, MARIA ISABEL P.",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS5,THESIS II,0,"TBA
(~)",TBA,"NGO, GALVIN RADLEY L.",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS6,THESIS II,0,"TBA
(~)",TBA,"NICDAO, JAIME JOSE G.",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS7,THESIS II,0,"TBA
(~)",TBA,"ORACION, CARMELA C.",5,ENG,G,5,-,N,N
ELM 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 299.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 323,GTH,SUPERVISION AND PROFESSIONAL DEVELOPMENT FOR EFFECTIVE TEACHING,3,"TH 1700-2000
(FULLY ONLINE)",TBA,"MARTIN, MARIA ISABEL P.",20,ENG,G,20,"*Learning Collaboratory ONSITE Schedule: Sept 26, 27, 28, 2024 8:00 am-5:00 pm",N,N
ELM 328,PT,EDUCATIONAL PLANNING AND POLICY ANALYSIS,3,"T 1700-2000
(FULLY ONLINE)",TBA,"MARTIN, MARIA ISABEL P.",20,ENG,G,20,"*Learning Collaboratory ONSITE Schedule: Oct 24, 25, 26, 2024 8:00 am-5:00 pm",N,N
ELM 396,COMP,COMPREHENSIVE EXAM,0,"TBA
(FULLY ONSITE)",TBA,"TBA, -",10,ENG,G,10,-,N,N
