Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
FIL 11.1,J,COMMUNICATION ARTS IN FILIPINO I: FILIPINO FOR FOREIGN STUDENTS - INTRODUCTION TO PHILIPPINE CULTURE,3,"T-F 0800-0930
(FULLY ONSITE)",B-308,"EMPAYNADO, JOMAR I.",30,ENG,U,30,CLASS IS RESTRICTED. *FOR OIR STUDENTS,N,N
FILI 11.1,C,MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS),3,"M-TH 1100-1230
(FULLY ONSITE)",B-309,"ANAYAN, RAM PAULO A.",30,ENG,U,30,-,N,N
FILI 11.1,K,MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS),3,"T-F 0930-1100
(FULLY ONSITE)",B-204/B-205,"HERNANDEZ, Sharmaine",30,ENG,U,30,-,N,N
FILI 11.1,L,MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS),3,"T-F 1100-1230
(FULLY ONSITE)",B-308,"HERNANDEZ, Sharmaine",30,ENG,U,30,-,N,N
FILI 11.1,N,MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS),3,"T-F 1400-1530
(FULLY ONSITE)",SEC-A124,"HERNANDEZ, Sharmaine",30,ENG,U,30,-,N,N
FILI 11,A,MALAYUNING KOMUNIKASYON,3,"M-TH 0800-0930
(FULLY ONSITE)",B-309,"ATIENZA, ARISTOTLE J.",30,ENG,U,30,-,N,N
FILI 11,A1,MALAYUNING KOMUNIKASYON,3,"M-TH 0800-0930
(FULLY ONSITE)",SEC-A123,"JAMENDANG, JR., YOLANDO B.",30,ENG,U,30,-,N,N
FILI 11,B,MALAYUNING KOMUNIKASYON,3,"M-TH 0930-1100
(FULLY ONSITE)",B-206,"TRINIDAD, ANDREA ANNE I.",30,ENG,U,30,-,N,N
FILI 11,B1,MALAYUNING KOMUNIKASYON,3,"M-TH 0930-1100
(FULLY ONSITE)",SEC-A124,"JAMENDANG, JR., YOLANDO B.",30,ENG,U,30,-,N,N
FILI 11,B2,MALAYUNING KOMUNIKASYON,3,"M-TH 0930-1100
(FULLY ONSITE)",TBA,"TENORIO, JETHRO NINO P.",30,ENG,U,30,-,N,N
FILI 11,B3,MALAYUNING KOMUNIKASYON,3,"M-TH 0930-1100
(FULLY ONSITE)",SEC-A123,"CERDA, CHRISTOFFER MITCH C.",30,ENG,U,30,-,N,N
FILI 11,C,MALAYUNING KOMUNIKASYON,3,"M-TH 1100-1230
(FULLY ONSITE)",B-204/B-205,"FRANCISCO, CARLOTA B.",30,ENG,U,30,-,N,N
FILI 11,C1,MALAYUNING KOMUNIKASYON,3,"M-TH 1100-1230
(FULLY ONSITE)",SEC-A123,"CERDA, CHRISTOFFER MITCH C.",30,ENG,U,30,-,N,N
FILI 11,C4,MALAYUNING KOMUNIKASYON,3,"M-TH 1100-1230
(FULLY ONSITE)",B-308,"EMPAYNADO, JOMAR I.",30,ENG,U,30,-,N,N
FILI 11,D,MALAYUNING KOMUNIKASYON,3,"M-TH 1230-1400
(FULLY ONSITE)",B-309,"ULIT, CLAUDETTE M.",30,ENG,U,30,-,N,N
FILI 11,D1,MALAYUNING KOMUNIKASYON,3,"M-TH 1230-1400
(FULLY ONSITE)",B-204/B-205,"FRANCISCO, CARLOTA B.",30,ENG,U,30,-,N,N
FILI 11,D2,MALAYUNING KOMUNIKASYON,3,"M-TH 1230-1400
(FULLY ONSITE)",B-307,"ATIENZA, ARISTOTLE J.",30,ENG,U,30,-,N,N
FILI 11,D3,MALAYUNING KOMUNIKASYON,3,"M-TH 1230-1400
(FULLY ONSITE)",B-308,"CASTILLO, Harvey James",30,ENG,U,30,-,N,N
FILI 11,D4,MALAYUNING KOMUNIKASYON,3,"M-TH 1230-1400
(FULLY ONSITE)",SEC-A123,"JAMENDANG, JR., YOLANDO B.",30,ENG,U,30,-,N,N
FILI 11,E,MALAYUNING KOMUNIKASYON,3,"M-TH 1400-1530
(FULLY ONSITE)",B-307,"ULIT, CLAUDETTE M.",30,ENG,U,30,-,N,N
FILI 11,E2,MALAYUNING KOMUNIKASYON,3,"M-TH 1400-1530
(FULLY ONSITE)",B-308,"CASTILLO, Harvey James",30,ENG,U,30,-,N,N
FILI 11,E3,MALAYUNING KOMUNIKASYON,3,"M-TH 1400-1530
(FULLY ONSITE)",B-309,"TRINIDAD, ANDREA ANNE I.",30,ENG,U,30,-,N,N
FILI 11,F,MALAYUNING KOMUNIKASYON,3,"M-TH 1530-1700
(FULLY ONSITE)",SEC-A123,"FRANCISCO, CARLOTA B.",30,ENG,U,30,-,N,N
FILI 11,F1,MALAYUNING KOMUNIKASYON,3,"M-TH 1530-1700
(FULLY ONSITE)",B-309,"ULIT, CLAUDETTE M.",30,ENG,U,30,-,N,N
FILI 11,J,MALAYUNING KOMUNIKASYON,3,"T-F 0800-0930
(FULLY ONSITE)",B-204/B-205,"DERAIN, ALLAN ALBERTO N.",30,ENG,U,30,-,N,N
FILI 11,J2,MALAYUNING KOMUNIKASYON,3,"T-F 0800-0930
(FULLY ONSITE)",B-309,"CLAROS, IAN HARVEY A.",30,ENG,U,30,-,N,N
FILI 11,J3,MALAYUNING KOMUNIKASYON,3,"T-F 0800-0930
(FULLY ONSITE)",SEC-A124,"ORIS, GLENDA C.",30,ENG,U,30,-,N,N
FILI 11,J4,MALAYUNING KOMUNIKASYON,3,"T-F 0800-0930
(FULLY ONSITE)",B-307,"GLORIA, JOHN CARLO S.",30,ENG,U,30,-,N,N
FILI 11,K,MALAYUNING KOMUNIKASYON,3,"T-F 0930-1100
(FULLY ONSITE)",B-309,"DERAIN, ALLAN ALBERTO N.",30,ENG,U,30,-,N,N
FILI 11,K2,MALAYUNING KOMUNIKASYON,3,"T-F 0930-1100
(FULLY ONSITE)",B-308,"ANAYAN, RAM PAULO A.",30,ENG,U,30,-,N,N
FILI 11,K4,MALAYUNING KOMUNIKASYON,3,"T-F 0930-1100
(FULLY ONSITE)",B-307,"ORIS, GLENDA C.",30,ENG,U,30,-,N,N
FILI 11,K5,MALAYUNING KOMUNIKASYON,3,"T-F 0930-1100
(FULLY ONSITE)",SEC-A123,"JAMENDANG, JR., YOLANDO B.",30,ENG,U,30,-,N,N
FILI 11,K6,MALAYUNING KOMUNIKASYON,3,"T-F 0930-1100
(FULLY ONSITE)",SEC-A124,"GLORIA, JOHN CARLO S.",30,ENG,U,30,-,N,N
FILI 11,K7,MALAYUNING KOMUNIKASYON,3,"T-F 0930-1100
(FULLY ONSITE)",TBA,"LIM, MARK BENEDICT F.",30,ENG,U,30,-,N,N
FILI 11,L,MALAYUNING KOMUNIKASYON,3,"T-F 1100-1230
(FULLY ONSITE)",B-204/B-205,"ANAYAN, RAM PAULO A.",30,ENG,U,30,-,N,N
FILI 11,L1,MALAYUNING KOMUNIKASYON,3,"T-F 1100-1230
(FULLY ONSITE)",SEC-A123,"LIM, MARK BENEDICT F.",30,ENG,U,30,-,N,N
FILI 11,L2,MALAYUNING KOMUNIKASYON,3,"T-F 1100-1230
(FULLY ONSITE)",SEC-A124,"JAMENDANG, JR., YOLANDO B.",30,ENG,U,30,-,N,N
FILI 11,M,MALAYUNING KOMUNIKASYON,3,"T-F 1230-1400
(FULLY ONSITE)",B-307,"DICCION, ARIEL A.",22,ENG,U,22,-,N,N
FILI 11,N1,MALAYUNING KOMUNIKASYON,3,"T-F 1400-1530
(FULLY ONSITE)",SEC-A123,"LIM, MARK BENEDICT F.",30,ENG,U,30,-,N,N
