Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
HISTO 11,A,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 0800-0930
(FULLY ONSITE)",BEL-103C,"MANAOIS, NEVILLE JAY C.",30,ENG,U,30,-,N,N
HISTO 11,A1,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 0800-0930
(FULLY ONSITE)",BEL-208,"GARCIA, LERMIE SHAYNE S.",30,ENG,U,30,-,N,N
HISTO 11,A3,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 0800-0930
(FULLY ONSITE)",B-209,"DOMINGO, DENZEL S.",30,ENG,U,30,-,N,N
HISTO 11,B,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 0930-1100
(FULLY ONSITE)",BEL-103C,"MANAOIS, NEVILLE JAY C.",30,ENG,U,30,-,N,N
HISTO 11,B2,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 0930-1100
(FULLY ONSITE)",CTC 105,"DE CASTRO, S.J., FR. ANTONIO FRANCISCO B.",80,ENG,U,80,-,N,N
HISTO 11,B3,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 0930-1100
(FULLY ONSITE)",BEL-208,"GARCIA, LERMIE SHAYNE S.",30,ENG,U,30,-,N,N
HISTO 11,B4,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 0930-1100
(FULLY ONSITE)",LH 206,"CRUZ, SJ, JOSE M.",20,ENG,U,20,-,N,N
HISTO 11,C,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 1100-1230
(FULLY ONSITE)",LH 206,"CRUZ, SJ, JOSE M.",20,ENG,U,20,-,N,N
HISTO 11,C1,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 1100-1230
(FULLY ONSITE)",SEC-B201A,"OCAMPO, AMBETH R.",80,ENG,U,80,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
HISTO 11,C3,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 1100-1230
(FULLY ONSITE)",CTC 105,"DE CASTRO, S.J., FR. ANTONIO FRANCISCO B.",80,ENG,U,80,-,N,N
HISTO 11,D,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 1230-1400
(FULLY ONSITE)",BEL-103C,"MANAOIS, NEVILLE JAY C.",30,ENG,U,30,-,N,N
HISTO 11,D2,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 1230-1400
(FULLY ONSITE)",SEC-B201A,"OCAMPO, AMBETH R.",80,ENG,U,80,-,N,N
HISTO 11,E,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 1400-1530
(FULLY ONSITE)",BEL-103C,"MANAOIS, NEVILLE JAY C.",30,ENG,U,30,-,N,N
HISTO 11,E1,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"M-TH 1400-1530
(FULLY ONSITE)",B-209,"GARCIA, LERMIE SHAYNE S.",30,ENG,U,30,-,N,N
HISTO 11,J,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"T-F 0800-0930
(FULLY ONSITE)",SEC-B201A,"HABANA, OLIVIA ANNE M.",80,ENG,U,80,-,N,N
HISTO 11,K,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"T-F 0930-1100
(FULLY ONSITE)",SEC-B201A,"HABANA, OLIVIA ANNE M.",80,ENG,U,80,-,N,N
HISTO 11,L,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"T-F 1100-1230
(FULLY ONSITE)",BEL-209,"SO, KAREN F.",29,ENG,U,29,-,N,N
HISTO 11,L1,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"T-F 1100-1230
(FULLY ONSITE)",B-209,"LOZADA, DAVID III O.",29,ENG,U,29,-,N,N
HISTO 11,M1,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"T-F 1230-1400
(FULLY ONSITE)",BEL-209,"SO, KAREN F.",30,ENG,U,30,-,N,N
HISTO 11,N,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"T-F 1400-1530
(FULLY ONSITE)",B-209,"LOZADA, DAVID III O.",29,ENG,U,29,-,N,N
HISTO 11,O,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"T-F 1530-1700
(FULLY ONSITE)",BEL-208,"SO, KAREN F.",30,ENG,U,30,-,N,N
HISTO 11,O1,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3,"T-F 1530-1700
(FULLY ONSITE)",B-209,"LOZADA, DAVID III O.",29,ENG,U,29,-,N,N
HISTO 12,A,READINGS IN PHILIPPINE HISTORY,3,"M-TH 0800-0930
(FULLY ONSITE)",BEL-209,"BUNAG, MA. CRISELDA DANA P.",30,ENG,U,30,-,N,N
HISTO 12,B,READINGS IN PHILIPPINE HISTORY,3,"M-TH 0930-1100
(FULLY ONSITE)",BEL-209,"BUNAG, MA. CRISELDA DANA P.",30,ENG,U,30,-,N,N
HISTO 12,C,READINGS IN PHILIPPINE HISTORY,3,"M-TH 1100-1230
(FULLY ONSITE)",B-209,"GEALOGO, FRANCIS A.",30,FIL,U,30,-,N,N
