Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
CSCI 20,C,INTRODUCTION TO COMPUTING,3,"M-TH 1100-1230
(FULLY ONSITE)",F-228,"RUIZ, Camille Marie",32,ENG,U,32,ALL SLOTS FOR BS CS MAJORS.,N,N
CSCI 20,D,INTRODUCTION TO COMPUTING,3,"M-TH 1230-1400
(FULLY ONSITE)",F-228,"RUIZ, Camille Marie",32,ENG,U,32,ALL SLOTS FOR BS CS MAJORS.,N,N
CSCI 20,E,INTRODUCTION TO COMPUTING,3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 215,"DE LA CRUZ, ROMELL IAN B.",32,ENG,U,32,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 20,F,INTRODUCTION TO COMPUTING,3,"M-TH 1530-1700
(FULLY ONSITE)",CTC 215,"DE LA CRUZ, ROMELL IAN B.",32,ENG,U,32,ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 21,K,INTRODUCTION TO PROGRAMMING I,3,"T-F 0930-1100
(FULLY ONSITE)",F-227,"GO, Gerick Jeremiah Niño, SUGAY, JESSICA O.",30,ENG,U,30,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 21,N1,INTRODUCTION TO PROGRAMMING I,3,"T-F 1400-1530
(FULLY ONSITE)",F-227,"GO, Gerick Jeremiah Niño, SUGAY, JESSICA O.",30,ENG,U,30,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 21,N2,INTRODUCTION TO PROGRAMMING I,3,"T-F 1400-1530
(FULLY ONSITE)",F-228,"MEDALLA, ALBERTO H.",30,ENG,U,30,ALL SLOTS FOR BS CS MAJORS.,N,N
CSCI 21,O,INTRODUCTION TO PROGRAMMING I,3,"T-F 1530-1700
(FULLY ONSITE)",F-228,"MEDALLA, ALBERTO H.",30,ENG,U,30,ALL SLOTS FOR BS CS MAJORS.,N,N
CSCI 25,H,INTRODUCTION TO PROGRAMMING AND DATABASES,3,"M-TH 1830-2000
(FULLY ONSITE)",F-204,"MEDALLA, ALBERTO H.",25,ENG,U,25,ALL SLOTS FOR DATA SCIENCE AND ANALYTICS SPECIALIZATION. ALL SLOTS FOR ENTERPRISE SYSTEMS SPECIALIZATION.,N,N
CSCI 30,K,DATA STRUCTURES AND ALGORITHMS,3,"T-F 0930-1100
(FULLY ONSITE)",CTC 215,"GUADALUPE, Brian Christopher",30,ENG,U,30,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 30,L1,DATA STRUCTURES AND ALGORITHMS,3,"T-F 1100-1230
(FULLY ONSITE)",CTC 215,"GUADALUPE, Brian Christopher",30,ENG,U,30,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 30,L2,DATA STRUCTURES AND ALGORITHMS,3,"T-F 1100-1230
(FULLY ONSITE)",CTC 506,"DUEÑAS, Lorenzo",30,ENG,U,30,ALL SLOTS FOR BS CS-DGDD MAJORS. ALL SLOTS FOR BS CS MAJORS.,N,N
CSCI 30,M,DATA STRUCTURES AND ALGORITHMS,3,"T-F 1230-1400
(FULLY ONSITE)",CTC 506,"DUEÑAS, Lorenzo",30,ENG,U,30,-,N,N
CSCI 30,N,DATA STRUCTURES AND ALGORITHMS,3,"T-F 1400-1530
(FULLY ONSITE)",CTC 506,"DUEÑAS, Lorenzo",30,ENG,U,30,-,N,N
CSCI 41,E,INFORMATION MANAGEMENT,3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 214,"CO, Shawn Aswin, RESTOLES, Dan Mark, SUGAY, JESSICA O.",33,ENG,U,33,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 41,F,INFORMATION MANAGEMENT,3,"M-TH 1530-1700
(FULLY ONSITE)",CTC 214,"CO, Shawn Aswin, RESTOLES, Dan Mark, SUGAY, JESSICA O.",33,ENG,U,33,ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 41,G,INFORMATION MANAGEMENT,3,"M-TH 1700-1830
(FULLY ONSITE)",CTC 214,"CO, Shawn Aswin, RESTOLES, Dan Mark, SUGAY, JESSICA O.",33,ENG,U,33,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 50.01,C,"COMPUTER ORGANIZATION, LECTURE",3,"M-TH 1100-1230
(FULLY ONSITE)",SEC-C201A,"ABU, PATRICIA ANGELA R.",66,ENG,U,66,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 50.01,M,"COMPUTER ORGANIZATION, LECTURE",3,"T-F 1230-1400
(FULLY ONSITE)",CTC 112,"DIY, WALFRIDO DAVID A.",33,ENG,U,33,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 50.02,N1,"COMPUTER ORGANIZATION, LABORATORY",3,"T-F 1400-1530
(FULLY ONSITE)",CTC 214,"VIDAL, ERIC CESAR JR. E.",33,ENG,U,33,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI 50.02,N2,"COMPUTER ORGANIZATION, LABORATORY",3,"T-F 1400-1530
(FULLY ONSITE)",CTC 112,"DIY, WALFRIDO DAVID A.",33,ENG,U,33,ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS. ALL SLOTS FOR BS CS MAJORS.,N,N
CSCI 50.02,O,"COMPUTER ORGANIZATION, LABORATORY",3,"T-F 1530-1700
(FULLY ONSITE)",CTC 214,"VIDAL, ERIC CESAR JR. E.",33,ENG,U,33,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
