Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
JPN 11,A,JAPANESE LANGUAGE AND CULTURE 1,3,"M-TH 0800-0930
(FULLY ONSITE)",CTC 306,"ALVAREZ, ROELIA V.",18,~,U,18,-,N,N
JPN 11,B,JAPANESE LANGUAGE AND CULTURE 1,3,"M-TH 0930-1100
(FULLY ONSITE)",CTC 306,"ALVAREZ, ROELIA V.",18,~,U,18,-,N,N
JPN 11,E,JAPANESE LANGUAGE AND CULTURE 1,3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 306,"NARCISO, RODOLFO R.",18,~,U,18,-,N,N
JPN 11,F,JAPANESE LANGUAGE AND CULTURE 1,3,"M-TH 1530-1700
(FULLY ONSITE)",CTC 306,"NARCISO, RODOLFO R.",18,~,U,18,-,N,N
JPN 11,J,JAPANESE LANGUAGE AND CULTURE 1,3,"T-F 0800-0930
(FULLY ONSITE)",CTC 306,"HIRANO, Mayumi",18,ENG,U,18,-,N,N
JPN 11,K,JAPANESE LANGUAGE AND CULTURE 1,3,"T-F 0930-1100
(FULLY ONSITE)",CTC 306,"NAGAI, Hiroko",18,~,U,18,-,N,N
JPN 11,L,JAPANESE LANGUAGE AND CULTURE 1,3,"T-F 1100-1230
(FULLY ONSITE)",CTC 306,"NAGAI, Hiroko",18,~,U,18,-,N,N
JPN 11,M,JAPANESE LANGUAGE AND CULTURE 1,3,"T-F 1230-1400
(FULLY ONSITE)",CTC 306,"ESPIRITU, JUNILO S.",18,~,U,18,-,N,N
JPN 11,N,JAPANESE LANGUAGE AND CULTURE 1,3,"T-F 1400-1530
(FULLY ONSITE)",CTC 306,"ESPIRITU, JUNILO S.",18,~,U,18,-,N,N
JPN 12,C,JAPANESE LANGUAGE AND CULTURE 2,3,"M-TH 1100-1230
(FULLY ONSITE)",CTC 306,"SANTOS, CARLOS LUIS L.",16,ENG,U,16,*Pre-requisite: JPN 11 or assessment and approval of the JSP Director.,N,N
JPN 12,D,JAPANESE LANGUAGE AND CULTURE 2,3,"M-TH 1230-1400
(FULLY ONSITE)",CTC 306,"SANTOS, CARLOS LUIS L.",16,~,U,16,*Pre-requisite: JPN 11 or assessment and approval of the JSP Director.,N,N
JPN 13,C,JAPANESE LANGUAGE AND CULTURE 3,3,"M-TH 1100-1230
(FULLY ONSITE)",JSP OFFICE,"ALVAREZ, ROELIA V.",18,~,U,18,*Pre-requisite: JPN 12 or assessment and approval of the JSP Director.,N,N
JPN 14,E,INTERMEDIATE JAPANESE 1,3,"M-TH 1400-1530
(FULLY ONSITE)",JSP OFFICE,"SANTOS, CARLOS LUIS L.",18,ENG,U,18,*Pre-requisite: JPN 13 or assessment and approval by the JSP Director.,N,N
JPN 122,W,COMPARATIVE CULTURES: PHILIPPINES AND JAPAN,3,"W-SAT 1400-1530
(FULLY ONSITE)",CTC 306,"TBA, -",25,ENG,U,25,-,N,N
JPN 180.21i,O,SPECIAL TOPIC: GENDER IN JAPAN,3,"T-F 1530-1700
(FULLY ONSITE)",CTC 306,"NAGAI, Hiroko",25,ENG,U,25,2 SLOT(S) FOR CROSS REG-IXS MAJORS. *2 slots for IXS/cross-reg,N,N
JPN 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
JPN 299.19,Z1,THESIS PROPOSAL DEFENSE,0,"W-SAT 1830-2000
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
JPN 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
JPN 299.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
JPN 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
JPN 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
