Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
LAS 114.30,KK,BUSINESS COMMUNICATIONS IN THE HOSPITALITY INDUSTRY,2,"T-F 0930-1030
(FULLY ONSITE)",CTC 407,"VERGARA, Leofel",20,ENG,U,20,ALL SLOTS FOR BS REnt MAJORS.,N,N
LAS 114.30,LL,BUSINESS COMMUNICATIONS IN THE HOSPITALITY INDUSTRY,2,"T-F 1100-1200
(FULLY ONSITE)",CTC 407,"VERGARA, Leofel",22,ENG,U,22,ALL SLOTS FOR BS REnt MAJORS.,N,N
LAS 20,GTH,PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT,3,"TH 1700-2000
(FULLY ONSITE)",SOM 103,"CUASAY, Sancho",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS.,N,N
LAS 20,J,PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT,3,"T-F 0800-0930
(FULLY ONSITE)",SOM 205,"DELA CRUZ, Cyndy",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS LM MAJORS.,N,N
LAS 20,K,PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT,3,"T-F 0930-1100
(FULLY ONSITE)",SOM 205,"DELA CRUZ, Cyndy",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS LM MAJORS.,N,N
LAS 20,N,PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT,3,"T-F 1400-1530
(FULLY ONSITE)",SOM 211,"SANGUYO, CHERYL J.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS LM MAJORS.,N,N
LAS 20,O,PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT,3,"T-F 1530-1700
(FULLY ONSITE)",SOM 211,"SANGUYO, CHERYL J.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS LM MAJORS.,N,N
LAS 20,Q,PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT,3,"T-F 1830-2000
(FULLY ONSITE)",SOM 302,"CASTAÑO, Manuel Chase",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS.,N,N
LAS 20,ST1,PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT,3,"W 0800-1100
(FULLY ONSITE)",SOM 302,"PUEN, DAVID ALLEN Y.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS.,N,N
LAS 20,UV1,PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT,3,"W 1100-1400
(FULLY ONSITE)",SOM 302,"PUEN, DAVID ALLEN Y.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS.,N,N
LAS 20,YW,PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT,3,"W 1700-2000
(FULLY ONSITE)",SOM 211,"CUASAY, Sancho",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS.,N,N
