Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
NSTP 11(CWTS),N-SAM,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"AURELLANO, Joseph Ian Franklin",45,E / F,U,45,*This section is strictly paired with THEO12 C3 (BOLANO) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM1,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"AURELLANO, Joseph Ian Franklin",45,E / F,U,45,*This section is strictly paired with THEO12 E (BOLANO) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM10,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"MARZAN, MICHAEL PATRICK C.",31,E / F,U,31,*This section is strictly paired with THEO12 L (AGTARAP) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM11,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"MARZAN, MICHAEL PATRICK C.",31,E / F,U,31,*This section is strictly paired with THEO12 N (AGTARAP) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM12,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"PINILI, Marie Georgina",31,E / F,U,31,*This section is strictly paired with THEO12 M1 (IBERA) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM13,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"PINILI, Marie Georgina",31,E / F,U,31,*This section is strictly paired with THEO12 N1 (IBERA) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM14,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"RAMPOLA, Pauline",31,E / F,U,31,*This section is strictly paired with THEO12 J (BOLANO) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM15,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"RAMPOLA, Pauline",31,E / F,U,31,*This section is strictly paired with THEO12 K1 (BOLANO) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM16,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"RAMPOLA, Pauline",31,E / F,U,31,*This section is strictly paired with THEO12 B1 (LENON) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM17,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"ROXAS, Stephanie",31,E / F,U,31,*This section is strictly paired with THEO12 B (REYES) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM18,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"ROXAS, Stephanie",31,E / F,U,31,*This section is strictly paired with THEO12 J4 (REYES) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM19,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"TBA, -",31,E / F,U,31,*This section is strictly paired with THEO12 C4 (LANOT) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM2,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"BERNARDO, CHRISTIAN RAYMUND R.",31,E / F,U,31,*This section is strictly paired with THEO12 C2 (BERNARDO) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM20,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"TBA, -",31,E / F,U,31,*4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM21,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"TBA, -",31,E / F,U,31,**This section is strictly paired with THEO12 K4 (SANCHEZ) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM22,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"TBA, -",10,E / F,U,10,*DO NOT ENLIST in this section if you have Theo12 in your IPS this semester. This is strictly for NSTP11.1 students (students who have completed Theo12 but not NSTP11).,N,N
NSTP 11(CWTS),N-SAM3,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"CARBUNGCO, Ma. Patricia Clara",31,E / F,U,31,*This section is strictly paired with THEO12 A1 (DELA CRUZ) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM4,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"CARBUNGCO, Ma. Patricia Clara",31,E / F,U,31,*This section is strictly paired with THEO12 J2 (DELA CRUZ) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM5,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"GRANADOS, JR., CARLOS S.",31,E / F,U,31,*This section is strictly paired with THEO12 C (ACEVEDO) *4-hour class with possible extension. Details to be announced in class.,N,N
NSTP 11(CWTS),N-SAM6,CIVIC WELFARE TRAINING SERVICE,3,"SAT 0800-1200
(FULLY ONSITE)",TBA,"GRANADOS, JR., CARLOS S.",31,E / F,U,31,**This section is strictly paired with THEO12 L2 (GARCIA) *4-hour class with possible extension. Details to be announced in class.,N,N
