Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
POLSC 20,A,INTRODUCTION TO POLITICAL SCIENCE,3,"M-TH 0800-0930
(FULLY ONSITE)",CTC 103,"BEATO, Beatriz",39,ENG,U,39,-,N,N
POLSC 20,A1,INTRODUCTION TO POLITICAL SCIENCE,3,"M-TH 0800-0930
(FULLY ONSITE)",CTC 303,"TRINIDAD, GINO ANTONIO P.",44,ENG,U,44,4 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
POLSC 20,A2,INTRODUCTION TO POLITICAL SCIENCE,3,"M-TH 0800-0930
(FULLY ONSITE)",SOM 202,"TBA, -",30,ENG,U,30,-,N,N
POLSC 20,B,INTRODUCTION TO POLITICAL SCIENCE,3,"M-TH 0930-1100
(FULLY ONSITE)",CTC 103,"BEATO, Beatriz",39,ENG,U,39,-,N,N
POLSC 20,B1,INTRODUCTION TO POLITICAL SCIENCE,3,"M-TH 0930-1100
(FULLY ONSITE)",CTC 303,"QUIOGUE, Mariel",40,ENG,U,40,-,N,N
POLSC 20,C,INTRODUCTION TO POLITICAL SCIENCE,3,"M-TH 1100-1230
(FULLY ONSITE)",CTC 303,"QUIOGUE, Mariel",40,ENG,U,40,-,N,N
POLSC 30,K,HISTORY OF POLITICAL THEORY,3,"T-F 0930-1100
(FULLY ONSITE)",CTC 103,"TBA, -",37,ENG,U,37,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
POLSC 30,N,HISTORY OF POLITICAL THEORY,3,"T-F 1400-1530
(FULLY ONSITE)",CTC 103,"ABAO, CARMEL V.",35,ENG,U,35,-,N,N
POLSC 30,O,HISTORY OF POLITICAL THEORY,3,"T-F 1530-1700
(FULLY ONSITE)",CTC 103,"ABAO, CARMEL V.",36,ENG,U,36,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
POLSC 110,D,COMPARATIVE POLITICS,3,"M-TH 1230-1400
(FULLY ONSITE)",CTC 103,"MENDOZA, DIANA J.",33,ENG,U,33,ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB MA-POS MAJORS.,N,N
POLSC 110,E,COMPARATIVE POLITICS,3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 103,"MENDOZA, DIANA J.",33,ENG,U,33,ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR GLOBAL POLITICS SPECIALIZATION. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
POLSC 110,N,COMPARATIVE POLITICS,3,"T-F 1400-1530
(FULLY ONSITE)",CTC 303,"LIM, MILLARD O.",33,ENG,U,33,ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB MA-POS MAJORS.,N,N
POLSC 110,O,COMPARATIVE POLITICS,3,"T-F 1530-1700
(FULLY ONSITE)",CTC 303,"LIM, MILLARD O.",33,ENG,U,33,ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR GP SPECIALIZATION. ALL SLOTS FOR AB POS MAJORS.,N,N
POLSC 115.10,F,DEMOCRATIZATION AND THE DEVELOPING STATES,3,"M-TH 1530-1700
(FULLY ONLINE)",TBA,"QUIMPO, Nathan Gilbert",30,ENG,U,30,-,N,N
POLSC 120,ST1,FUNDAMENTALS OF PUBLIC MANAGEMENT,3,"W 0800-1100
(FULLY ONSITE)",CTC 103,"ROBREDO, Jessica Marie",28,ENG,U,28,ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR PUB-MGT SPECIALIZATION. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
POLSC 120,UV1,FUNDAMENTALS OF PUBLIC MANAGEMENT,3,"W 1100-1400
(FULLY ONSITE)",CTC 103,"ROBREDO, Jessica Marie",28,ENG,U,28,ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR PUB-MGT SPECIALIZATION. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
POLSC 121.10,J,THE POLITICS OF DEVELOPMENT POLICY,3,"T-F 0800-0930
(FULLY ONSITE)",CTC 303,"VENERACION, MARIA LOURDES G.",33,ENG,U,33,ALL SLOTS FOR POS STUDENTS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
POLSC 121.30,GTH,ENVIRONMENTAL POLICIES,3,"TH 1700-2000
(FULLY ONSITE)",CTC 103,"DE TORRES, Alenz Avril",30,ENG,U,30,ALL SLOTS FOR POS STUDENTS.,N,N
POLSC 124,O,PARTICIPATORY GOVERNANCE,3,"T-F 1530-1700
(FULLY ONSITE)",SOM 202,"VILLARIN, Tomasito",30,ENG,U,30,ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR PUB-MGT SPECIALIZATION. 2 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
POLSC 130,GM,INTERNATIONAL RELATIONS,3,"M 1700-2000
(FULLY ONSITE)",CTC 303,"QUINTANA, OLIVER JOHN C., SALVADOR, ALMA MARIA O.",31,ENG,U,31,ALL SLOTS FOR POS STUDENTS.,N,N
POLSC 130,K,INTERNATIONAL RELATIONS,3,"T-F 0930-1100
(FULLY ONSITE)",CTC 303,"VENERACION, MARIA LOURDES G.",32,ENG,U,32,3 SLOT(S) FOR 4TH YEAR IS STUDENTS. 20 SLOT(S) FOR POS STUDENTS. 9 SLOT(S) FOR AB EU MAJORS.,N,N
POLSC 130,M,INTERNATIONAL RELATIONS,3,"T-F 1230-1400
(FULLY ONSITE)",CTC 303,"VENERACION, MARIA LOURDES G.",32,ENG,U,32,ALL SLOTS FOR POS STUDENTS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
POLSC 130,WX1,INTERNATIONAL RELATIONS,3,"W 1400-1700
(FULLY ONSITE)",SOM 202,"LAO, MARIA ELISSA J.",37,ENG,U,37,ALL SLOTS FOR POS STUDENTS. 6 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
POLSC 130,YW,INTERNATIONAL RELATIONS,3,"W 1700-2000
(FULLY ONSITE)",CTC 103,"QUINTANA, OLIVER JOHN C., SALVADOR, ALMA MARIA O.",33,ENG,U,33,2 SLOT(S) FOR CROSS REG-IXS MAJORS. ALL SLOTS FOR POS STUDENTS.,N,N
