Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
STS 10,A,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 0800-0930
(FULLY ONSITE)",G-305,"MAINI, ZOMESH A.",35,ENG,U,35,-,N,N
STS 10,B,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 0930-1100
(FULLY ONSITE)",B-208,"CHAN, BENJAMIN O.",35,ENG,U,35,-,N,N
STS 10,B1,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 0930-1100
(FULLY ONSITE)",B-104,"PETALIO, Syra Marie Norin, TBA, -",35,ENG,U,35,-,N,N
STS 10,B2,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 0930-1100
(FULLY ONSITE)",G-305,"DAYRIT, FABIAN M., ROJAS, NINA ROSARIO L.",30,ENG,U,30,*All slots for BS CH Majors. All slots for BS CH-MSE Majors.,N,N
STS 10,B3,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 0930-1100
(FULLY ONSITE)",CTC 506,"AMANTE, Francesco, MEJILLA, Mar Joseph Aureos",30,ENG,U,30,-,N,N
STS 10,C,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 1100-1230
(FULLY ONSITE)",G-305,"MAQUILING, JOEL T.",30,ENG,U,30,-,N,N
STS 10,C1,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 1100-1230
(FULLY ONSITE)",B-104,"PETALIO, Syra Marie Norin, TBA, -",35,ENG,U,35,-,N,N
STS 10,C2,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 1100-1230
(FULLY ONSITE)",B-208,"OLAGUERA, LYNDON MARK P.",35,ENG,U,35,-,N,N
STS 10,D,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 1230-1400
(FULLY ONSITE)",G-305,"MAQUILING, JOEL T.",30,ENG,U,30,-,N,N
STS 10,D1,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 1230-1400
(FULLY ONSITE)",B-104,"ROJAS, NINA ROSARIO L.",30,ENG,U,30,*All slots for SOSE Majors.,N,N
STS 10,D2,"SCIENCE, TECHNOLOGY, AND SOCIETY",3,"M-TH 1230-1400
(FULLY ONSITE)",B-208,"OLAGUERA, LYNDON MARK P.",35,ENG,U,35,-,N,N
