Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
BI DEF 200,ODEF,ORAL DEFENSE (MASTERS),0,"TBA
(~)",TBA,"TBA, -",5,ENG,G,5,-,N,N
BIO 10.01,NSCLEC-CC-M,"BIODIVERSITY: LIFE ON EARTH, LECTURE",3,"T-F 1230-1400
(FULLY ONSITE)",B-102,"GARCIA, Maia Patricia",30,ENG,U,30,-,N,N
BIO 10.01,NSCLEC-CD-A,"BIODIVERSITY: LIFE ON EARTH, LECTURE",3,"M-TH 0800-0930
(FULLY ONSITE)",CTC 118,"GARCIA, Maia Patricia",30,ENG,U,30,-,N,N
BIO 10.01,NSCLEC-CE-L,"BIODIVERSITY: LIFE ON EARTH, LECTURE",3,"T-F 1100-1230
(FULLY ONSITE)",SOM 210,"LAZATIN, Albert Matthew",30,ENG,U,30,-,N,N
BIO 10.01,NSCLEC-CF-L,"BIODIVERSITY: LIFE ON EARTH, LECTURE",3,"T-F 1100-1230
(FULLY ONSITE)",G-304,"BARROGA, Luigi",30,ENG,U,30,-,N,N
BIO 10.02,NSCLAB-CC-BC,"BIODIVERSITY: LIFE ON EARTH, LABORATORY",1,"M 1000-1200
(FULLY ONSITE)",SEC-B105A,"GARCIA, Maia Patricia",30,ENG,U,30,-,N,N
BIO 10.02,NSCLAB-CD-BC1,"BIODIVERSITY: LIFE ON EARTH, LABORATORY",1,"TH 1000-1200
(FULLY ONSITE)",SEC-B105A,"GARCIA, Maia Patricia",30,ENG,U,30,-,N,N
BIO 10.02,NSCLAB-CE-DE,"BIODIVERSITY: LIFE ON EARTH, LABORATORY",1,"M 1230-1430
(FULLY ONSITE)",SEC-B105A,"LAZATIN, Albert Matthew",30,ENG,U,30,-,N,N
BIO 10.02,NSCLAB-CF-DE1,"BIODIVERSITY: LIFE ON EARTH, LABORATORY",1,"TH 1230-1430
(FULLY ONSITE)",SEC-B105A,"LAZATIN, Albert Matthew",30,ENG,U,30,-,N,N
BIO 11.01,NSCLEC-CA-C,"HUMAN BIOLOGY, HEALTH AND DISEASE, LECTURE",3,"M-TH 1100-1230
(FULLY ONSITE)",SOM 106,"DE GUZMAN, Ivan Adrian",30,ENG,U,30,-,N,N
BIO 11.01,NSCLEC-CB-D,"HUMAN BIOLOGY, HEALTH AND DISEASE, LECTURE",3,"M-TH 1230-1400
(FULLY ONSITE)",SOM 203,"DE GUZMAN, Ivan Adrian",30,ENG,U,30,-,N,N
BIO 11.02,NSCLAB-CA-A,"HUMAN BIOLOGY, HEALTH AND DISEASE, LABORATORY",1,"M 0800-1000
(FULLY ONSITE)",SEC-B105A,"TBA, -",30,ENG,U,30,-,N,N
BIO 11.02,NSCLAB-CB-Aa,"HUMAN BIOLOGY, HEALTH AND DISEASE, LABORATORY",1,"TH 0800-1000
(FULLY ONSITE)",SEC-B105A,"AGUIRRE, ARIEL LORENZO J II Y.",30,ENG,U,30,-,N,N
BIO 12.01,NSCLEC-CG-K,"BIOTECHNOLOGY FOR EVERYONE, LECTURE",3,"T-F 0930-1100
(FULLY ONSITE)",G-303,"RAGAZA, JANICE A.",30,ENG,U,30,-,N,N
BIO 12.01,NSCLEC-CH-C,"BIOTECHNOLOGY FOR EVERYONE, LECTURE",3,"M-TH 1100-1230
(FULLY ONSITE)",SOM 103,"BRAGAIS, Edward Kevin",30,ENG,U,30,-,N,N
BIO 12.01,NSCLEC-CI-A,"BIOTECHNOLOGY FOR EVERYONE, LECTURE",3,"M-TH 0800-0930
(FULLY ONSITE)",K-301,"TAN, Liane Denise",30,ENG,U,30,-,N,N
BIO 12.01,NSCLEC-CJ-D,"BIOTECHNOLOGY FOR EVERYONE, LECTURE",3,"M-TH 1230-1400
(FULLY ONSITE)",G-304,"RAMIS, Jopeth",30,ENG,U,30,-,N,N
BIO 12.02,NSCLAB-CG-EF,"BIOTECHNOLOGY FOR EVERYONE, LABORATORY",1,"M 1500-1700
(FULLY ONSITE)",SEC-B105A,"LIBUNAO, Joseph Conrad",30,ENG,U,30,-,N,N
BIO 12.02,NSCLAB-CH-EF1,"BIOTECHNOLOGY FOR EVERYONE, LABORATORY",1,"TH 1500-1700
(FULLY ONSITE)",SEC-B105A,"LIBUNAO, Joseph Conrad",30,ENG,U,30,-,N,N
BIO 12.02,NSCLAB-CI-S,"BIOTECHNOLOGY FOR EVERYONE, LABORATORY",1,"W 0900-1100
(FULLY ONSITE)",SEC-B105A,"TBA, -",30,ENG,U,30,-,N,N
BIO 12.02,NSCLAB-CI-U,"BIOTECHNOLOGY FOR EVERYONE, LABORATORY",1,"W 1200-1400
(FULLY ONSITE)",SEC-B105A,"RAMIS, Jopeth",30,ENG,U,30,-,N,N
BIO 21i,M,THE BIOLOGY OF SCIENCE FICTION,3,"T-F 1230-1400
(FULLY ONSITE)",CTC 216,"CRUZ, RONALD ALLAN L., ELICANO, ANTONIO RAFAEL N.",30,ENG,U,30,-,N,N
BIO 30.01,LAB1-AB,"BIOPHYSICS, LECTURE",2,"M 0800-1000
(FULLY ONSITE)",SEC-A117,"BRAGAIS, Edward Kevin",35,ENG,U,35,-,N,N
