Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
CPA 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 298.2,CAPS1,PROJECT DEVELOPMENT AND PRESENTATION,0,"TBA
(FULLY ONLINE)",TBA,"NGO, GALVIN RADLEY L.",10,ENG,G,10,-,N,N
CPA 298.2,CAPS2,PROJECT DEVELOPMENT AND PRESENTATION,0,"TBA
(FULLY ONLINE)",TBA,"RODRIGO, MARIA MERCEDES T.",10,~,G,10,-,N,N
CPA 298,CAPS,INTEGRATING PAPER,6,"TBA
(~)",TBA,"ESCAREZ, SOCORRO PERPETUAL E.",10,ENG,G,10,-,N,N
CPA 298,CAPS1,INTEGRATING PAPER,6,"TBA
(~)",TBA,"ORACION, CARMELA C.",10,~,G,10,-,N,N
CPA 298,CAPS2,INTEGRATING PAPER,6,"TBA
(FULLY ONLINE)",TBA,"NICDAO, JAIME JOSE G.",10,~,G,10,-,N,N
CPA 298,CAPS3,INTEGRATING PAPER,6,"TBA
(FULLY ONLINE)",TBA,"NICDAO, RHODORA F.",10,~,G,10,-,N,N
CPA 298,CAPS4,INTEGRATING PAPER,6,"TBA
(FULLY ONLINE)",TBA,"SANTOS, CORAZON L.",10,~,G,10,-,N,N
CPA 298,CAPS5,INTEGRATING PAPER,6,"TBA
(FULLY ONLINE)",TBA,"CHING, JERALDINE K.",10,ENG,G,10,-,N,N
CPA 298,CAPS6,INTEGRATING PAPER,6,"TBA
(FULLY ONLINE)",TBA,"GUANGHAN, Liang",10,ENG,G,10,-,N,N
CPA 298,CAPS7,INTEGRATING PAPER,6,"TBA
(FULLY ONLINE)",TBA,"ALEJO, MA RESURRECCION P.",10,ENG,G,10,-,N,N
CPA 299.1,THES/DISS1,THESIS I,0,"TBA
(FULLY ONLINE)",TBA,"ALVAREZ, SJ, FR. FRANCIS",10,~,G,10,-,N,N
CPA 299.1,THES/DISS2,THESIS I,0,"TBA
(FULLY ONLINE)",TBA,"ESCAREZ, SOCORRO PERPETUAL E.",10,~,G,10,-,N,N
CPA 299.1,THES/DISS3,THESIS I,0,"TBA
(FULLY ONLINE)",TBA,"NICDAO, RHODORA F.",10,ENG,G,10,-,N,N
CPA 299.1,THES/DISS4,THESIS I,0,"TBA
(FULLY ONSITE)",TBA,"MARTIN, MARIA ISABEL P.",10,ENG,G,10,-,N,N
CPA 299.1,THES/DISS5,THESIS I,0,"TBA
(FULLY ONLINE)",TBA,"MORENO, MA MONICA L.",10,~,G,10,-,N,N
CPA 299.1,THES/DISS6,THESIS I,0,"TBA
(FULLY ONLINE)",TBA,"ALEJO, MA RESURRECCION P.",10,ENG,G,10,-,N,N
CPA 299.2,THES/DISS1,THESIS II,0,"TBA
(FULLY ONLINE)",TBA,"GO, SJ, JOHNNY C.",10,~,G,10,-,N,N
CPA 299.2,THES/DISS2,THESIS II,0,"TBA
(FULLY ONLINE)",TBA,"MARTIN, MARIA ISABEL P.",10,~,G,10,-,N,N
