Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
ENGG 11,LAB1-TU,COMPUTER-AIDED DRAFTING,1,"W 1000-1200
(FULLY ONSITE)",CTC 219,"GALICIA, JAN KEVIN A.",18,ENG,U,18,-,N,N
ENGG 11,LAB1-WX,COMPUTER-AIDED DRAFTING,1,"W 1500-1700
(FULLY ONSITE)",CTC 219,"GALICIA, JAN KEVIN A.",18,ENG,U,18,-,N,N
ENGG 11,VWA,COMPUTER-AIDED DRAFTING,1,"W 1300-1500
(FULLY ONSITE)",CTC 219,"GALICIA, JAN KEVIN A.",18,ENG,U,18,-,N,N
ENGG 24,F,DISCRETE MATHEMATICS,3,"M-TH 1530-1700
(FULLY ONSITE)",CTC 219,"AGUSTIN, LUISITO L.",25,ENG,U,25,-,N,N
ENGG 25,B,DIFFERENTIAL EQUATIONS,3,"M-TH 0930-1100
(FULLY ONSITE)",CTC 517,"TORRES, Justin Bryce",25,ENG,U,25,-,N,N
ENGG 25,C,DIFFERENTIAL EQUATIONS,3,"M-TH 1100-1230
(FULLY ONSITE)",CTC 403,"TORRES, Justin Bryce",25,ENG,U,25,-,N,N
ENGG 27.01,M,"ADVANCE ENGINEERING MATH WITH NUMERICAL METHODS, LECTURE",3,"T-F 1230-1400
(FULLY ONSITE)",CTC 403,"AGUSTIN, LUISITO L.",30,ENG,U,30,-,N,N
ENGG 27.02,LABKM,"ADVANCE ENGINEERING MATH WITH NUMERICAL METHODS, LABORATORY",1,"T 1030-1230
(FULLY ONSITE)",CTC 403,"AGUSTIN, LUISITO L.",12,ENG,U,12,-,N,N
ENGG 30.02,CD,INTRODUCTION TO PROGRAMMING FOR ENGINEERS,2,"M-TH 1200-1400
(FULLY ONSITE)",CTC 219,"MADAMBA, Joy Alinda",30,ENG,U,30,-,N,N
ENGG 30.02,KL,INTRODUCTION TO PROGRAMMING FOR ENGINEERS,2,"T-F 0930-1130
(FULLY ONSITE)",CTC 219,"MADAMBA, Joy Alinda",30,ENG,U,30,-,N,N
ENGG 31,AB,OBJECT ORIENTED PROGRAMMING,2,"M-TH 0800-1000
(FULLY ONSITE)",CTC 403,"AGUSTIN, LUISITO L.",27,ENG,U,27,-,N,N
