Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
ENE 13.03i,ST1,STORY AND NARRATIVE IN THE HUMANITIES,3,"W 0800-1100
(FULLY ONSITE)",CTC 104,"SUAREZ, CECILIA A.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS. ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 2ND YEAR BS REnt MAJORS. ALL SLOTS FOR 2ND YEAR BS MIS MAJORS. ALL SLOTS FOR 2ND YEAR BSMIS-MSCS MAJORS. ALL SLOTS FOR 2ND YEAR BS BIO MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS. ALL SLOTS FOR 3RD YEAR AB PH MAJORS. ALL SLOTS FOR 3RD YEAR AB PanFil MAJORS. ALL SLOTS FOR 3RD YEAR AB EU MAJORS. ALL SLOTS FOR 3RD YEAR AB PSY MAJORS. ALL SLOTS FOR 3RD YEAR AB Dip IR MAJORS. ALL SLOTS FOR 3RD YEAR AB POS MAJORS. ALL SLOTS FOR 3RD YEAR AB ChnS-AC MAJORS. ALL SLOTS FOR 3RD YEAR BS LfSci MAJORS. ALL SLOTS FOR 4TH YEAR BS CH MAJORS. ALL SLOTS FOR 4TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 4TH YEAR AB LIT(ENG) MAJORS. ALL SLOTS FOR 4TH YEAR BS PSY MAJORS.,N,N
ENE 13.03i,VW,STORY AND NARRATIVE IN THE HUMANITIES,3,"W 1200-1500
(FULLY ONSITE)",SEC-A118A,"SUAREZ, CECILIA A.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS. ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 2ND YEAR BS REnt MAJORS. ALL SLOTS FOR 2ND YEAR BS MIS MAJORS. ALL SLOTS FOR 2ND YEAR BSMIS-MSCS MAJORS. ALL SLOTS FOR 2ND YEAR BS BIO MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS. ALL SLOTS FOR 3RD YEAR AB PH MAJORS. ALL SLOTS FOR 3RD YEAR AB PanFil MAJORS. ALL SLOTS FOR 3RD YEAR AB EU MAJORS. ALL SLOTS FOR 3RD YEAR AB PSY MAJORS. ALL SLOTS FOR 3RD YEAR AB Dip IR MAJORS. ALL SLOTS FOR 3RD YEAR AB POS MAJORS. ALL SLOTS FOR 3RD YEAR AB ChnS-AC MAJORS. ALL SLOTS FOR 3RD YEAR BS LfSci MAJORS. ALL SLOTS FOR 4TH YEAR BS CH MAJORS. ALL SLOTS FOR 4TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 4TH YEAR AB LIT(ENG) MAJORS. ALL SLOTS FOR 4TH YEAR BS PSY MAJORS.,N,N
ENE 13.04i,J,STORY AND NARRATIVE IN MANAGEMENT,3,"T-F 0800-0930
(FULLY ONSITE)",SOM 210,"EVANGELISTA, JESSICA LACE G.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS. ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 2ND YEAR BS REnt MAJORS. ALL SLOTS FOR 2ND YEAR BS MIS MAJORS. ALL SLOTS FOR 2ND YEAR BSMIS-MSCS MAJORS. ALL SLOTS FOR 2ND YEAR BS BIO MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS. ALL SLOTS FOR 3RD YEAR AB PH MAJORS. ALL SLOTS FOR 3RD YEAR AB PanFil MAJORS. ALL SLOTS FOR 3RD YEAR AB EU MAJORS. ALL SLOTS FOR 3RD YEAR AB PSY MAJORS. ALL SLOTS FOR 3RD YEAR AB Dip IR MAJORS. ALL SLOTS FOR 3RD YEAR AB POS MAJORS. ALL SLOTS FOR 3RD YEAR AB ChnS-AC MAJORS. ALL SLOTS FOR 3RD YEAR BS LfSci MAJORS. ALL SLOTS FOR 4TH YEAR BS CH MAJORS. ALL SLOTS FOR 4TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 4TH YEAR AB LIT(ENG) MAJORS. ALL SLOTS FOR 4TH YEAR BS PSY MAJORS.,N,N
ENE 13.04i,K,STORY AND NARRATIVE IN MANAGEMENT,3,"T-F 0930-1100
(FULLY ONSITE)",CTC 106,"GONZALES, Dan Henry",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS. ALL SLOTS FOR 2ND YEAR BS REnt MAJORS. ALL SLOTS FOR 2ND YEAR BS MIS MAJORS. ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 2ND YEAR BSMIS-MSCS MAJORS. ALL SLOTS FOR 2ND YEAR BS BIO MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS. ALL SLOTS FOR 3RD YEAR AB PH MAJORS. ALL SLOTS FOR 3RD YEAR AB PanFil MAJORS. ALL SLOTS FOR 3RD YEAR AB EU MAJORS. ALL SLOTS FOR 3RD YEAR AB PSY MAJORS. ALL SLOTS FOR 3RD YEAR AB Dip IR MAJORS. ALL SLOTS FOR 3RD YEAR AB POS MAJORS. ALL SLOTS FOR 3RD YEAR AB ChnS-AC MAJORS. ALL SLOTS FOR 3RD YEAR BS LfSci MAJORS. ALL SLOTS FOR 4TH YEAR BS CH MAJORS. ALL SLOTS FOR 4TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 4TH YEAR AB LIT(ENG) MAJORS. ALL SLOTS FOR 4TH YEAR BS PSY MAJORS.,N,N
ENE 13.04i,L,STORY AND NARRATIVE IN MANAGEMENT,3,"T-F 1100-1230
(FULLY ONSITE)",BEL-311,"GONZALES, Dan Henry",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS. ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 2ND YEAR BS REnt MAJORS. ALL SLOTS FOR 2ND YEAR BS MIS MAJORS. ALL SLOTS FOR 2ND YEAR BSMIS-MSCS MAJORS. ALL SLOTS FOR 2ND YEAR BS BIO MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS. ALL SLOTS FOR 3RD YEAR AB PH MAJORS. ALL SLOTS FOR 3RD YEAR AB PanFil MAJORS. ALL SLOTS FOR 3RD YEAR AB EU MAJORS. ALL SLOTS FOR 3RD YEAR AB PSY MAJORS. ALL SLOTS FOR 3RD YEAR AB Dip IR MAJORS. ALL SLOTS FOR 3RD YEAR AB POS MAJORS. ALL SLOTS FOR 3RD YEAR AB ChnS-AC MAJORS. ALL SLOTS FOR 3RD YEAR BS LfSci MAJORS. ALL SLOTS FOR 4TH YEAR BS CH MAJORS. ALL SLOTS FOR 4TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 4TH YEAR AB LIT(ENG) MAJORS. ALL SLOTS FOR 4TH YEAR BS PSY MAJORS.,N,N
ENE 13.04i,M,STORY AND NARRATIVE IN MANAGEMENT,3,"T-F 1230-1400
(FULLY ONSITE)",B-206,"EVANGELISTA, JESSICA LACE G.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS. ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 2ND YEAR BS REnt MAJORS. ALL SLOTS FOR 2ND YEAR BS MIS MAJORS. ALL SLOTS FOR 2ND YEAR BSMIS-MSCS MAJORS. ALL SLOTS FOR 2ND YEAR BS BIO MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS. ALL SLOTS FOR 3RD YEAR AB PH MAJORS. ALL SLOTS FOR 3RD YEAR AB PanFil MAJORS. ALL SLOTS FOR 3RD YEAR AB EU MAJORS. ALL SLOTS FOR 3RD YEAR AB PSY MAJORS. ALL SLOTS FOR 3RD YEAR AB Dip IR MAJORS. ALL SLOTS FOR 3RD YEAR AB POS MAJORS. ALL SLOTS FOR 3RD YEAR AB ChnS-AC MAJORS. ALL SLOTS FOR 3RD YEAR BS LfSci MAJORS. ALL SLOTS FOR 4TH YEAR BS CH MAJORS. ALL SLOTS FOR 4TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 4TH YEAR AB LIT(ENG) MAJORS. ALL SLOTS FOR 4TH YEAR BS PSY MAJORS.,N,N
ENE 13.04i,O,STORY AND NARRATIVE IN MANAGEMENT,3,"T-F 1530-1700
(FULLY ONSITE)",SEC-A203,"GONZALES, Dan Henry",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS. ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 2ND YEAR BS REnt MAJORS. ALL SLOTS FOR 2ND YEAR BS MIS MAJORS. ALL SLOTS FOR 2ND YEAR BSMIS-MSCS MAJORS. ALL SLOTS FOR 2ND YEAR BS BIO MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS. ALL SLOTS FOR 3RD YEAR AB PH MAJORS. ALL SLOTS FOR 3RD YEAR AB PanFil MAJORS. ALL SLOTS FOR 3RD YEAR AB EU MAJORS. ALL SLOTS FOR 3RD YEAR AB PSY MAJORS. ALL SLOTS FOR 3RD YEAR AB Dip IR MAJORS. ALL SLOTS FOR 3RD YEAR AB POS MAJORS. ALL SLOTS FOR 3RD YEAR AB ChnS-AC MAJORS. ALL SLOTS FOR 3RD YEAR BS LfSci MAJORS. ALL SLOTS FOR 4TH YEAR BS CH MAJORS. ALL SLOTS FOR 4TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 4TH YEAR AB LIT(ENG) MAJORS. ALL SLOTS FOR 4TH YEAR BS PSY MAJORS.,N,N
ENE 13.04i,ST1,STORY AND NARRATIVE IN MANAGEMENT,3,"W 0800-1100
(FULLY ONSITE)",SEC-A118A,"FRANQUELLI, JACQUELINE V.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS. ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 2ND YEAR BS REnt MAJORS. ALL SLOTS FOR 2ND YEAR BS MIS MAJORS. ALL SLOTS FOR 2ND YEAR BSMIS-MSCS MAJORS. ALL SLOTS FOR 2ND YEAR BS BIO MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS. ALL SLOTS FOR 3RD YEAR AB PH MAJORS. ALL SLOTS FOR 3RD YEAR AB PanFil MAJORS. ALL SLOTS FOR 3RD YEAR AB EU MAJORS. ALL SLOTS FOR 3RD YEAR AB PSY MAJORS. ALL SLOTS FOR 3RD YEAR AB Dip IR MAJORS. ALL SLOTS FOR 3RD YEAR AB POS MAJORS. ALL SLOTS FOR 3RD YEAR AB ChnS-AC MAJORS. ALL SLOTS FOR 3RD YEAR BS LfSci MAJORS. ALL SLOTS FOR 4TH YEAR BS CH MAJORS. ALL SLOTS FOR 4TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 4TH YEAR AB LIT(ENG) MAJORS. ALL SLOTS FOR 4TH YEAR BS PSY MAJORS.,N,N
ENE 13.04i,ST1A,STORY AND NARRATIVE IN MANAGEMENT,3,"W 0800-1100
(FULLY ONSITE)",SEC-A203,"AGUSTIN, ROY TRISTAN B.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS. ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 2ND YEAR BS REnt MAJORS. ALL SLOTS FOR 2ND YEAR BS MIS MAJORS. ALL SLOTS FOR 2ND YEAR BSMIS-MSCS MAJORS. ALL SLOTS FOR 2ND YEAR BS BIO MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS. ALL SLOTS FOR 3RD YEAR AB PH MAJORS. ALL SLOTS FOR 3RD YEAR AB PanFil MAJORS. ALL SLOTS FOR 3RD YEAR AB EU MAJORS. ALL SLOTS FOR 3RD YEAR AB PSY MAJORS. ALL SLOTS FOR 3RD YEAR AB Dip IR MAJORS. ALL SLOTS FOR 3RD YEAR AB POS MAJORS. ALL SLOTS FOR 3RD YEAR AB ChnS-AC MAJORS. ALL SLOTS FOR 3RD YEAR BS LfSci MAJORS. ALL SLOTS FOR 4TH YEAR BS CH MAJORS. ALL SLOTS FOR 4TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 4TH YEAR AB LIT(ENG) MAJORS. ALL SLOTS FOR 4TH YEAR BS PSY MAJORS.,N,N
ENE 13.04i,VW,STORY AND NARRATIVE IN MANAGEMENT,3,"W 1200-1500
(FULLY ONSITE)",BEL-311,"FRANQUELLI, JACQUELINE V.",30,ENG,U,30,ALL SLOTS FOR 2ND YEAR BS MGT MAJORS. ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 2ND YEAR BS REnt MAJORS. ALL SLOTS FOR 2ND YEAR BS MIS MAJORS. ALL SLOTS FOR 2ND YEAR BSMIS-MSCS MAJORS. ALL SLOTS FOR 2ND YEAR BS BIO MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS. ALL SLOTS FOR 3RD YEAR AB PH MAJORS. ALL SLOTS FOR 3RD YEAR AB PanFil MAJORS. ALL SLOTS FOR 3RD YEAR AB EU MAJORS. ALL SLOTS FOR 3RD YEAR AB PSY MAJORS. ALL SLOTS FOR 3RD YEAR AB Dip IR MAJORS. ALL SLOTS FOR 3RD YEAR AB POS MAJORS. ALL SLOTS FOR 3RD YEAR AB ChnS-AC MAJORS. ALL SLOTS FOR 3RD YEAR BS LfSci MAJORS. ALL SLOTS FOR 4TH YEAR BS CH MAJORS. ALL SLOTS FOR 4TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 4TH YEAR AB LIT(ENG) MAJORS. ALL SLOTS FOR 4TH YEAR BS PSY MAJORS.,N,N
