Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
EURO 21,N,CROSS CULTURAL COMMUNICATION,3,"T-F 1400-1530
(FULLY ONSITE)",K-204,"TBA, -",25,ENG,U,25,2 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
EURO 22,ST2A,POLICIES AND INSTITUTIONS OF THE EUROPEAN UNION,3,"SAT 0800-1100
(FULLY ONSITE)",K-204,"CABALLERO, KRITZMAN G.",25,ENG,U,25,*Prerequisite: EURO 20,N,N
EURO 23i,E,"INTERDISCIPLINARY ELECTIVE: EUROPE, GLOBALIZATION AND POPULAR CULTURE",3,"M-TH 1400-1530
(FULLY ONSITE)",K-204,"ENVERGA III, MANUEL R.",30,ENG,U,30,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
EURO 111,WX1,INTRODUCTION TO LAW AND LEGAL CONCEPTS OF THE EUROPEAN UNION,3,"W 1400-1700
(FULLY ONSITE)",K-204,"CRUZ, JAN FREDRICK P.",12,ENG,U,12,*Prerequisite: EURO 20,N,N
EURO 114,D,EUROPEAN DIPLOMATIC PRACTICE,3,"M-TH 1230-1400
(FULLY ONSITE)",K-204,"ENVERGA III, MANUEL R.",15,ENG,U,15,3 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
EURO 115,WX1,EXTERNAL RELATIONS OF THE EUROPEAN UNION,3,"W 1400-1700
(FULLY ONSITE)",EU DEPT,"TIONLOC, JAVIER RICO ISRAEL R.",9,ENG,U,9,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
EURO 120,O,BUSINESS STRATEGIES AND EXPERIENCES IN EUROPE,3,"T-F 1530-1700
(FULLY ONSITE)",K-204,"YUMUL, John Paul Dominic",15,ENG,U,15,*Open to non-EURO majors,N,N
EURO 121,F,EUROPE AND INTERNATIONAL FINANCE,3,"M-TH 1530-1700
(FULLY ONSITE)",K-204,"CRUZ, IRWIN A.",15,ENG,U,15,3 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
EURO 122,G,EUROPE AND INTERNATIONAL ECONOMIC RELATIONS,3,"M-TH 1700-1830
(FULLY ONSITE)",TBA,"CRUZ, IRWIN A.",15,ENG,U,15,3 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
EURO 181.1i,L,INTERDISCIPLINARY ELECTIVE: PERSPECTIVES ON MONARCHY,3,"T-F 1100-1230
(FULLY ONSITE)",K-204,"TIONLOC, JAVIER RICO ISRAEL R.",30,ENG,U,30,-,N,N
EURO 181.1i,M,INTERDISCIPLINARY ELECTIVE: PERSPECTIVES ON MONARCHY,3,"T-F 1230-1400
(FULLY ONSITE)",K-204,"TIONLOC, JAVIER RICO ISRAEL R.",30,ENG,U,30,-,N,N
EURO 185.7i,UV2,INTERDISCIPLINARY ELECTIVE: EUROPEAN UNION SPACE POLICY AND INTERNATIONAL COOPERATION,3,"SAT 1100-1400
(FULLY ONSITE)",K-204,"CABALLERO, KRITZMAN G.",30,ENG,U,30,-,N,N
EURO 298.19,Z1,CAPSTONE PROJECT PROPOSAL DEFENSE,0,"W-SAT 1830-2000
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
EURO 298.66,SUB-A,SUBMISSION OF FINAL CAPSTONE PROJECT,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
EURO 298.77,SUB-B,SUBMISSION OF FINAL CAPSTONE PROJECT,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
EURO 298,CAPS,RESEARCH PAPER,3,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
EURO 299.2,THES/DISS,THESIS II,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
EURO 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
EURO 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
EURO 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
