Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
ARTM 101.03,K,ART HISTORY: CLASSICAL ANTIQUITY TO 19TH CENTURY,3,"T-F 0930-1100
(FULLY ONSITE)",INNOVATION 201,"VAN DER WALL, Hidde Tjakke",20,ENG,U,20,18 SLOT(S) FOR FA STUDENTS. 1 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR AB HUM MAJORS.,N,N
ARTM 101.05,K,ART HISTORY: 20TH CENTURY TO GLOBAL CONTEMPORARY ART,3,"T-F 0930-1100
(FULLY ONSITE)",CO BUN TING AND PO TY LEE CO MAC LAB,"HIRANO, Mayumi",20,ENG,U,20,17 SLOT(S) FOR FA STUDENTS. 3 SLOT(S) FOR AB IS MAJORS.,N,N
ARTM 102.03,UV1,PHILIPPINE ART: SURVEY OF PHILIPPINE VISUAL ARTS 1,3,"W 1100-1400
(FULLY ONSITE)",NATIONAL BOOKSTORE ATELIER,"JAVELLANA, SJ, FR. RENE B.",20,ENG,U,20,16 SLOT(S) FOR FA STUDENTS.,N,N
ARTM 102.04,L,PHILIPPINE ART: SURVEY OF PHILIPPINE VISUAL ARTS 2,3,"T-F 1100-1230
(FULLY ONSITE)",INNOVATION 202,"MA-ALAT, Pauline Bianca",20,ENG,U,20,16 SLOT(S) FOR FA STUDENTS.,N,N
ARTM 103.03,WX1,ART MANAGEMENT: COLLECTIONS MANAGEMENT,3,"W 1400-1700
(FULLY ONSITE)",TBA,"HERRERA, MARIA VICTORIA T.",20,ENG,U,20,15 SLOT(S) FOR FA STUDENTS. 2 SLOT(S) FOR AB HUM MAJORS. 3 SLOT(S) FOR AB IS MAJORS. *ROOM- AGG,N,N
ARTM 103.05,M,ART MANAGEMENT: ISSUES IN CURATORIAL PRACTICE,3,"T-F 1230-1400
(FULLY ONSITE)",ABS CBN CORPORATION INNOVATION CLASSROOM,"HIRANO, Mayumi",20,ENG,U,20,5 SLOT(S) FOR FA STUDENTS.,N,N
ARTM 120,A,DIGITAL MANAGEMENT IN THE ARTS,3,"M-TH 0800-0930
(FULLY ONSITE)",INNOVATION 201,"DELGADO, Gian Carlo",25,ENG,U,25,-,N,N
ARTM 199.1,PF,ART MANAGEMENT THESIS: SENIOR PROJECT 1,3,"F 1700-2000
(FULLY ONSITE)",FA DEPT,"MA-ALAT, Pauline Bianca",6,ENG,U,6,*Thesis class for AB Art Management,N,N
ARTS 103,A,ART AND THE COMMUNITY,3,"M-TH 0800-0930
(FULLY ONSITE)",ABS CBN CORPORATION INNOVATION CLASSROOM,"DAGMANG, Nathalie",25,ENG,U,25,ALL SLOTS FOR FA STUDENTS.,N,N
ARTS 103,C,ART AND THE COMMUNITY,3,"M-TH 1100-1230
(FULLY ONSITE)",ABS CBN CORPORATION INNOVATION CLASSROOM,"DAGMANG, Nathalie",25,ENG,U,25,ALL SLOTS FOR FA STUDENTS.,N,N
