Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
HSCI 20,UUV,INTRODUCTION TO COMMUNITY HEALTH,2,"W 1200-1400
(FULLY ONSITE)",CTC 414,"TBA, -",20,ENG,U,20,-,N,N
HSCI 51,D,INTRODUCTION TO EPIDEMIOLOGY,3,"M-TH 1230-1400
(FULLY ONSITE)",CTC 107,"WONG, JOHN Q.",49,ENG,U,49,-,N,N
HSCI 51,F,INTRODUCTION TO EPIDEMIOLOGY,3,"M-TH 1530-1700
(FULLY ONSITE)",CTC 107,"WONG, JOHN Q.",49,ENG,U,49,-,N,N
HSCI 61i,E,DESIGN THINKING IN PUBLIC HEALTH,3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 107,"ESPINOSA, Christine Ingrid",21,ENG,U,21,21 SLOT(S) FOR BS HS MAJORS.,N,N
HSCI 80.1,GH,INTRODUCTION TO PHYSIOLOGY: REGULATION AND CONTROL,2,"M 1700-1900
(FULLY ONSITE)",SEC-A118A,"BARTOLOME, ELINOR G.",26,ENG,U,26,-,N,N
HSCI 80.1,GH1,INTRODUCTION TO PHYSIOLOGY: REGULATION AND CONTROL,2,"M 1700-1900
(FULLY ONSITE)",CTC 107,"DE LA CRUZ, MA. HENRIETTA TERESA O.",26,ENG,U,26,-,N,N
HSCI 80.1,GH2,INTRODUCTION TO PHYSIOLOGY: REGULATION AND CONTROL,2,"M 1700-1900
(FULLY ONSITE)",CTC 414,"ADARLO, GENEJANE M.",26,ENG,U,26,-,N,N
HSCI 80.7,K,EXERCISE PHYSIOLOGY,3,"T-F 0930-1100
(FULLY ONSITE)",CTC 107,"TBA, -",21,ENG,U,21,ALL SLOTS FOR BS HS MAJORS.,N,N
HSCI 199.2,ZZZ,SCHOLARLY WORK 1B: COLLABORATION AND DATA COLLECTION,2,"TUTORIAL 0000-0000
(~)",HSC DEPT,"ADARLO, GENEJANE M.",1,ENG,U,1,-,N,N
HSCI 199.3,SST,SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS,2,"SAT 0900-1100
(FULLY ONSITE)",CTC 414,"BARTOLOME, ELINOR G.",13,ENG,U,13,-,N,N
HSCI 199.3,SST1,SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS,2,"SAT 0900-1100
(FULLY ONSITE)",TBA,"DE LA CRUZ, MA. HENRIETTA TERESA O.",7,ENG,U,7,*ROOM - CTC 414,N,N
HSCI 199.3,SST2,SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS,2,"SAT 0900-1100
(FULLY ONSITE)",TBA,"PEREZ-RIFAREAL, JOAN MAE G.",13,ENG,U,13,*ROOM- CTC 414,N,N
HSCI 199.3,SST3,SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS,2,"SAT 0900-1100
(FULLY ONSITE)",TBA,"GUEVARA, MARITA CONCEPCION C.",7,ENG,U,7,**ROOM- CTC 414,N,N
HSCI 199.3,SST4,SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS,2,"SAT 0900-1100
(FULLY ONSITE)",TBA,"CAPIO, CATHERINE M.",14,ENG,U,14,**ROOM- CTC 414,N,N
HSCI 199.3,SST5,SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS,2,"SAT 0900-1100
(FULLY ONSITE)",TBA,"MURGA, MARIA ELIZABETH ANGE",7,ENG,U,7,**ROOM- CTC 414,N,N
HSCI 199.3,SST6,SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS,2,"SAT 0900-1100
(FULLY ONSITE)",TBA,"SIY VAN, VANESSA T.",7,ENG,U,7,*ROOM - CTC 414,N,N
HSCI 199.3,SST7,SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS,2,"SAT 0900-1100
(FULLY ONSITE)",TBA,"CABALQUINTO, Alvin",14,ENG,U,14,*ROOM- CTC 414,N,N
HSCI 199.3,SST8,SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS,2,"SAT 0900-1100
(FULLY ONSITE)",TBA,"WONG, JOHN Q.",14,ENG,U,14,*ROOM- CTC 414,N,N
HSCI 199.3,SST9,SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS,2,"SAT 0900-1100
(FULLY ONSITE)",TBA,"TAN, Abigail",7,ENG,U,7,*ROOM- CTC 414,N,N
HSCI 199.4,ZZZ,"SCHOLARLY WORK 2B: WRITING, PRESENTATION, EVALUATION, AND PUBLICATION",2,"TUTORIAL 0000-0000
(~)",HSC DEPT,"CABALQUINTO, Alvin",1,ENG,U,1,-,N,N
HSCI 199.4,ZZZ1,"SCHOLARLY WORK 2B: WRITING, PRESENTATION, EVALUATION, AND PUBLICATION",2,"TUTORIAL 0000-0000
(~)",HSC DEPT,"ADARLO, GENEJANE M.",1,ENG,U,1,-,N,N
