Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
HUMAN 141,F,INTRODUCTION TO AESTHETICS,3,"M-TH 1530-1700
(FULLY ONSITE)",CTC 205,"LORENZANA, GEORGE PETER A.",17,ENG,U,17,-,N,N
HUMAN 145,N,GREAT BOOKS I: ANCIENT PERIOD,3,"T-F 1400-1530
(FULLY ONSITE)",CTC 205,"SUNICO, RAMON VICENTE C.",10,ENG,U,10,-,N,N
HUMAN 147,M,GREAT BOOKS III: MODERN PERIOD,3,"T-F 1230-1400
(FULLY ONSITE)",CTC 205,"TBA, -",5,ENG,U,5,-,N,N
HUMAN 199.1,WX1,SENIOR SEMINAR,3,"W 1400-1700
(FULLY ONSITE)",TBA,"OFILADA, Edward Joseph",2,E / F,U,2,-,N,N
HUMAN 199.2,YW,SENIOR SEMINAR II,3,"W 1700-2000
(FULLY ONSITE)",CTC 205,"VILLANUEVA, MARTIN V.",3,FIL,U,3,*For advised and pre-enlisted AB Hum students.,N,N
IDS 121.13,J,MUSIC: THE DEVELOPMENT OF MUSIC IN WESTERN SOCIETY,3,"T-F 0800-0930
(FULLY ONSITE)",G-312A,"PASTRANA, ALLAN J.",30,ENG,U,30,5 SLOT(S) FOR AB HUM MAJORS. 5 SLOT(S) FOR AB IS MAJORS.,N,N
IDS 121.14,E,MUSIC: RUDIMENTS OF MUSIC,3,"M-TH 1400-1530
(FULLY ONSITE)",G-312A,"CAYABYAB, Antonio Maria",30,ENG,U,30,15 SLOT(S) FOR AB IS MAJORS.,N,N
IDS 121.15i,F,BASIC MUSIC RESEARCH AND CRITICISM,3,"M-TH 1530-1700
(FULLY ONSITE)",G-312A,"QUINTANA, OLIVER JOHN C.",28,ENG,U,28,7 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR BFA CW MAJORS. 1 SLOT(S) FOR AB SOCIO MAJORS.,N,N
IDS 121.15i,K,BASIC MUSIC RESEARCH AND CRITICISM,3,"T-F 0930-1100
(FULLY ONSITE)",G-312A,"FRANCISCO, KAREN FATIMA R.",28,ENG,U,28,7 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS. 1 SLOT(S) FOR AB COM MAJORS. 1 SLOT(S) FOR BFA CW MAJORS. 1 SLOT(S) FOR BS COMTECH MAJORS.,N,N
IDS 121.15i,L,BASIC MUSIC RESEARCH AND CRITICISM,3,"T-F 1100-1230
(FULLY ONSITE)",G-312A,"FRANCISCO, KAREN FATIMA R.",28,ENG,U,28,1 SLOT(S) FOR BFA CW MAJORS. 7 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR AB COM MAJORS.,N,N
IDS 121.15i,M,BASIC MUSIC RESEARCH AND CRITICISM,3,"T-F 1230-1400
(FULLY ONSITE)",G-312A,"CORONEL, ANDREI D.",28,ENG,U,28,7 SLOT(S) FOR AB IS MAJORS.,N,N
IDS 132.05i,E1,CULTURAL STUDIES OF CONTEMPORARY TECHNOLOGY,3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 205,"LORENZANA, GEORGE PETER A.",28,ENG,U,28,1 SLOT(S) FOR AB COM MAJORS. 10 SLOT(S) FOR AB IS MAJORS.,N,N
IDS 133.04i,UV1,"IDEOLOGIES: GENDER AND SOCIETY IN THE PHILIPPINES - PERSPECTIVES, PROBLEMS, AND PROSPECTS",3,"W 1100-1400
(FULLY ONSITE)",CTC 205,"GUEVARA, MARITA CONCEPCION C.",28,E / F,U,28,"6 SLOT(S) FOR AB COM MAJORS. 15 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR AB SOCIO MAJORS. *Some readings, videos, and guest lectures will be in Filipino.",N,N
IDS 133.05,G,"IDEOLOGIES: GENDER, ART, AND SOCIETY",3,"M-TH 1700-1830
(FULLY ONSITE)",CTC 205,"LORENZANA, GEORGE PETER A.",28,ENG,U,28,10 SLOT(S) FOR AB IS MAJORS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
