Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
KOR 115,B,KOREAN HISTORY THROUGH K-DRAMA,3,"M-TH 0930-1100
(FULLY ONSITE)",CTC 203,"WOO, Sun Jung",30,ENG,U,30,5 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
KRN 11,C,BASIC KOREAN 1 LANGUAGE AND CULTURE,3,"M-TH 1100-1230
(FULLY ONSITE)",CTC 118,"MAGONCIA, Jeremiah",18,~,U,18,-,N,N
KRN 11,C1,BASIC KOREAN 1 LANGUAGE AND CULTURE,3,"M-TH 1100-1230
(FULLY ONSITE)",CTC 203,"WOO, Sun Jung",18,~,U,18,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
KRN 11,D,BASIC KOREAN 1 LANGUAGE AND CULTURE,3,"M-TH 1230-1400
(FULLY ONSITE)",CTC 203,"MAGONCIA, Jeremiah",18,~,U,18,-,N,N
KRN 11,E,BASIC KOREAN 1 LANGUAGE AND CULTURE,3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 203,"ANGULO, Marco",18,~,U,18,-,N,N
KRN 11,E1,BASIC KOREAN 1 LANGUAGE AND CULTURE,3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 203,"WOO, Sun Jung",18,~,U,18,-,N,N
KRN 11,F,BASIC KOREAN 1 LANGUAGE AND CULTURE,3,"M-TH 1530-1700
(FULLY ONSITE)",CTC 203,"MAGONCIA, Jeremiah",18,~,U,18,-,N,N
KRN 11,J,BASIC KOREAN 1 LANGUAGE AND CULTURE,3,"T-F 0800-0930
(FULLY ONSITE)",CTC 203,"RICO, MA. KRISTINA CARLA S.",18,~,U,18,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
KRN 11,N,BASIC KOREAN 1 LANGUAGE AND CULTURE,3,"T-F 1400-1530
(FULLY ONSITE)",CTC 203,"JAVIER, Aurea C.",18,~,U,18,-,N,N
KRN 11,O,BASIC KOREAN 1 LANGUAGE AND CULTURE,3,"T-F 1530-1700
(FULLY ONSITE)",CTC 203,"JAVIER, Aurea C.",18,~,U,18,-,N,N
KRN 11,ST1,BASIC KOREAN 1 LANGUAGE AND CULTURE,3,"W 0800-1100
(FULLY ONSITE)",CTC 203,"RICO, MA. KRISTINA CARLA S.",18,~,U,18,-,N,N
KRN 12,K,BASIC KOREAN 2 LANGUAGE AND CULTURE,3,"T-F 0930-1100
(FULLY ONSITE)",TBA,"RICO, MA. KRISTINA CARLA S.",18,~,U,18,-,N,N
KRN 12,M,BASIC KOREAN 2 LANGUAGE AND CULTURE,3,"T-F 1230-1400
(FULLY ONSITE)",CTC 203,"RICO, MA. KRISTINA CARLA S.",18,~,U,18,-,N,N
KRN 13,K,KOREAN LANGUAGE AND CULTURE 3,3,"T-F 0930-1100
(FULLY ONSITE)",CTC 203,"WOO, Sun Jung",18,~,U,18,-,N,N
KRN 14,L,KOREAN LANGUAGE AND CULTURE 4,3,"T-F 1100-1230
(FULLY ONSITE)",CTC 203,"WOO, Sun Jung",18,~,U,18,-,N,N
