Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
LLAW 116,G,LABOR LAW AND SOCIAL LEGISLATION,3,"M-TH 1700-1830
(FULLY ONSITE)",SOM 105,"TEJANO, Juan Carlo",33,ENG,U,33,28 SLOT(S) FOR 3RD YEAR BS COMTECH MAJORS. 5 SLOT(S) FOR 4TH YEAR BS COMTECH MAJORS.,N,N
LLAW 116,GTH,LABOR LAW AND SOCIAL LEGISLATION,3,"TH 1700-2000
(FULLY ONSITE)",CTC 306,"QUIMSON, Rhea Rogelia",33,ENG,U,33,33 SLOT(S) FOR 3RD YEAR BS COMTECH MAJORS. 5 SLOT(S) FOR 4TH YEAR BS COMTECH MAJORS.,N,N
LLAW 116,IM,LABOR LAW AND SOCIAL LEGISLATION,3,"M 1800-2100
(FULLY ONSITE)",CTC 104,"GAERLAN, Rhett",33,ENG,U,33,13 SLOT(S) FOR 4TH YEAR BS COMTECH MAJORS. 20 SLOT(S) FOR 4TH YEAR BS ITE MAJORS.,N,N
LLAW 116,IM1,LABOR LAW AND SOCIAL LEGISLATION,3,"M 1800-2100
(FULLY ONSITE)",CTC 203,"REYNOSO, JAY PAOLO A.",33,ENG,U,33,ALL SLOTS FOR 4TH YEAR BS MGT MAJORS.,N,N
LLAW 116,ITH,LABOR LAW AND SOCIAL LEGISLATION,3,"TH 1800-2100
(FULLY ONSITE)",CTC 305,"TAYLO, Jose Herminio III",33,ENG,U,33,ALL SLOTS FOR 4TH YEAR BS MGT MAJORS.,N,N
LLAW 116,ITH1,LABOR LAW AND SOCIAL LEGISLATION,3,"TH 1800-2100
(FULLY ONSITE)",CTC 203,"GAERLAN, Rhett",33,ENG,U,33,17 SLOT(S) FOR 4TH YEAR BS ITE MAJORS. 17 SLOT(S) FOR 4TH YEAR BS MGT MAJORS.,N,N
LLAW 116,ST2,LABOR LAW AND SOCIAL LEGISLATION,3,"SAT 0800-1100
(FULLY ONSITE)",CTC 306,"TBA, -",33,ENG,U,33,25 SLOT(S) FOR 3RD YEAR BS COMTECH MAJORS. 8 SLOT(S) FOR 4TH YEAR BS COMTECH MAJORS.,N,N
LLAW 116,ST2A,LABOR LAW AND SOCIAL LEGISLATION,3,"SAT 0800-1100
(FULLY ONSITE)",SOM 105,"QUIMSON, Rhea Rogelia",33,ENG,U,33,ALL SLOTS FOR 4TH YEAR BS MGT MAJORS.,N,N
LLAW 116,UV1,LABOR LAW AND SOCIAL LEGISLATION,3,"W 1100-1400
(FULLY ONSITE)",SOM 203,"DE VERA, ARNOLD F.",20,ENG,U,20,11 SLOT(S) FOR 4TH YEAR BS MGT-H MAJORS. 9 SLOT(S) FOR 4TH YEAR BS MGT MAJORS.,N,N
LLAW 116,UV2,LABOR LAW AND SOCIAL LEGISLATION,3,"SAT 1100-1400
(FULLY ONSITE)",SOM 105,"QUIMSON, Rhea Rogelia",33,ENG,U,33,ALL SLOTS FOR 4TH YEAR BS MGT MAJORS. 15 SLOT(S) FOR 4TH YEAR BS ITE MAJORS.,N,N
