Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
MATH 1.1,C,PREPARATION FOR COLLEGE MATHEMATICS I,3,"M-TH 1100-1230
(FULLY ONSITE)",SEC-A302A,"GUZON, ANGELA FATIMA H.",30,ENG,U,30,-,N,N
MATH 1.1,E,PREPARATION FOR COLLEGE MATHEMATICS I,3,"M-TH 1400-1530
(FULLY ONSITE)",SEC-A302A,"GUZON, ANGELA FATIMA H.",30,ENG,U,30,-,N,N
MATH 10,A1,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 0800-0930
(FULLY ONSITE)",SEC-A215,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,A2,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 0800-0930
(FULLY ONSITE)",SEC-A214,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,A3,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 0800-0930
(FULLY ONSITE)",SEC-A210,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,B1,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 0930-1100
(FULLY ONSITE)",SEC-A215,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,C1,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1100-1230
(FULLY ONSITE)",SEC-A215,"TBA, -",32,ENG,U,32,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
MATH 10,C2,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1100-1230
(FULLY ONSITE)",SEC-A214,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,C3,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1100-1230
(FULLY ONSITE)",SEC-A210,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,D1,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1230-1400
(FULLY ONSITE)",SEC-A215,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,D2,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1230-1400
(FULLY ONSITE)",SEC-A214,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,D3,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1230-1400
(FULLY ONSITE)",SEC-A210,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,E1,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1400-1530
(FULLY ONSITE)",SEC-A215,"TBA, -",32,ENG,U,32,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
MATH 10,E2,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1400-1530
(FULLY ONSITE)",SEC-A214,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,E3,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1400-1530
(FULLY ONSITE)",SEC-A210,"GARCIANO, AGNES D., TOLENTINO, MARK ANTHONY C.",32,ENG,U,32,ALL SLOTS FOR SOSE STUDENTS.,N,N
MATH 10,F1,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1530-1700
(FULLY ONSITE)",SEC-A215,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,F2,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1530-1700
(FULLY ONSITE)",SEC-A214,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,F3,MATHEMATICS IN THE MODERN WORLD,3,"M-TH 1530-1700
(FULLY ONSITE)",SEC-A210,"GARCIANO, AGNES D., TOLENTINO, MARK ANTHONY C.",32,ENG,U,32,ALL SLOTS FOR SOSE STUDENTS.,N,N
MATH 10,J1,MATHEMATICS IN THE MODERN WORLD,3,"T-F 0800-0930
(FULLY ONSITE)",SEC-A215,"TBA, -",30,ENG,U,30,-,N,N
MATH 10,J2,MATHEMATICS IN THE MODERN WORLD,3,"T-F 0800-0930
(FULLY ONSITE)",SEC-A214,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,J3,MATHEMATICS IN THE MODERN WORLD,3,"T-F 0800-0930
(FULLY ONSITE)",K-302,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,K1,MATHEMATICS IN THE MODERN WORLD,3,"T-F 0930-1100
(FULLY ONSITE)",SEC-A215,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,K2,MATHEMATICS IN THE MODERN WORLD,3,"T-F 0930-1100
(FULLY ONSITE)",SEC-A214,"TBA, -",32,ENG,U,32,-,N,N
MATH 10,K3,MATHEMATICS IN THE MODERN WORLD,3,"T-F 0930-1100
(FULLY ONSITE)",SEC-A210,"TBA, -",32,ENG,U,32,-,N,N
