Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
FRE 11,A,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"M-TH 0800-0930
(FULLY ONSITE)",SOM 104,"YAP, JOSEPH MARTIN M.",18,~,U,18,-,N,N
FRE 11,B,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"M-TH 0930-1100
(FULLY ONSITE)",BEL-210,"FAYLONA, DORIS T.",18,~,U,18,1 SLOT(S) FOR CROSS REG-IXS MAJORS.,N,N
FRE 11,B1,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"M-TH 0930-1100
(FULLY ONSITE)",SOM 104,"YAP, JOSEPH MARTIN M.",18,~,U,18,-,N,N
FRE 11,C,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"M-TH 1100-1230
(FULLY ONSITE)",BEL-210,"FAYLONA, DORIS T.",18,~,U,18,-,N,N
FRE 11,D,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"M-TH 1230-1400
(FULLY ONSITE)",BEL-210,"YAP, JOSEPH MARTIN M.",18,~,U,18,-,N,N
FRE 11,E,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"M-TH 1400-1530
(FULLY ONSITE)",BEL 211,"FAYLONA, DORIS T.",18,~,U,18,-,N,N
FRE 11,E1,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"M-TH 1400-1530
(FULLY ONSITE)",BEL-210,"YAP, JOSEPH MARTIN M.",18,~,U,18,-,N,N
FRE 11,J1,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"T-F 0800-0930
(FULLY ONSITE)",BEL 211,"REYES, Kathryn Patricia",18,~,U,18,-,N,N
FRE 11,K,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"T-F 0930-1100
(FULLY ONSITE)",BEL-210,"BAUTISTA, CARMINA MA. VERONICA L.",18,~,U,18,-,N,N
FRE 11,K1,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"T-F 0930-1100
(FULLY ONSITE)",SOM 104,"YU, ROBERT JOHN C.",18,~,U,18,-,N,N
FRE 11,L1,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"T-F 1100-1230
(FULLY ONSITE)",SOM 104,"YU, ROBERT JOHN C.",18,~,U,18,-,N,N
FRE 11,L2,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"T-F 1100-1230
(FULLY ONSITE)",BEL-210,"BAUTISTA, CARMINA MA. VERONICA L.",18,~,U,18,-,N,N
FRE 11,L3,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"T-F 1100-1230
(FULLY ONSITE)",F-115,"REYES, Kathryn Patricia",18,~,U,18,-,N,N
FRE 11,M,BASIC FRENCH 1 LANGUAGE AND CULTURE,3,"T-F 1230-1400
(FULLY ONSITE)",BEL 211,"REYES, Kathryn Patricia",18,~,U,18,-,N,N
FRE 12,N,BASIC FRENCH 2 LANGUAGE AND CULTURE,3,"T-F 1400-1530
(FULLY ONSITE)",SOM 104,"YU, ROBERT JOHN C.",18,~,U,18,-,N,N
FRE 14,M,INTERMEDIATE FRENCH 2,3,"T-F 1230-1400
(FULLY ONSITE)",F-115,"VERA CRUZ, JOSE TEODORO C.",18,~,U,18,-,N,N
