Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
PHILO 11.03,A1,THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK),3,"M-TH 0800-0930
(FULLY ONSITE)",BEL-206,"TEMPORAL, DENNIS O.",30,ENG,U,30,-,N,N
PHILO 11.03,B1,THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK),3,"M-TH 0930-1100
(FULLY ONSITE)",SEC-C201A,"DY, JR., MANUEL B.",65,ENG,U,65,-,N,N
PHILO 11.03,B2,THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK),3,"M-TH 0930-1100
(FULLY ONSITE)",BEL-206,"PASCO, MARC OLIVER G.",30,ENG,U,30,-,N,N
PHILO 11.03,D1,THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK),3,"M-TH 1230-1400
(FULLY ONSITE)",CTC 202,"PASCO, MARC OLIVER G.",30,FIL,U,30,-,N,N
PHILO 11.03,D2,THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK),3,"M-TH 1230-1400
(FULLY ONSITE)",BEL-312,"PEREZ, ANGELO JULIAN E.",30,ENG,U,30,-,N,N
PHILO 11.03,E2,THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK),3,"M-TH 1400-1530
(FULLY ONSITE)",BEL-206,"TAN, Justin Randall",30,ENG,U,30,-,N,N
PHILO 11.03,F1,THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK),3,"M-TH 1530-1700
(FULLY ONSITE)",BEL-312,"PEREZ, ANGELO JULIAN E.",30,ENG,U,30,-,N,N
PHILO 11.03,G2,THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK),3,"M-TH 1700-1830
(FULLY ONSITE)",BEL-207,"TAN, Justin Randall",30,ENG,U,30,-,N,N
PHILO 11.03,G3,THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK),3,"M-TH 1700-1830
(FULLY ONSITE)",BEL-312,"PIAMONTE, Chloe Nicole",30,FIL,U,30,-,N,N
PHILO 11.03,H1,THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK),3,"M-TH 1830-2000
(FULLY ONSITE)",BEL-312,"PIAMONTE, Chloe Nicole",30,FIL,U,30,-,N,N
