Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
PEPC 10,PFT-A,FUNDAMENTAL MOVEMENT FOR HEALTH AND FITNESS,2,"M-TH 0800-0900
(FULLY ONSITE)",TBA,"RAVELO, Nathaniel Timothy",22,ENG,U,22,*Venue: Court 1,N,N
PEPC 10,PFT-A1,FUNDAMENTAL MOVEMENT FOR HEALTH AND FITNESS,2,"M-TH 0800-0900
(FULLY ONSITE)",TBA,"PEDROSA, Guillermo Jr",22,ENG,U,22,*Venue: Court 1,N,N
PEPC 10,PFT-A2,FUNDAMENTAL MOVEMENT FOR HEALTH AND FITNESS,2,"M-TH 0800-0900
(FULLY ONSITE)",TBA,"LANTIN, Katrina Mel",22,ENG,U,22,*Venue: Court 2,N,N
PEPC 10,PFT-A3,FUNDAMENTAL MOVEMENT FOR HEALTH AND FITNESS,2,"M-TH 0800-0900
(FULLY ONSITE)",TBA,"GAVINO, Miguel Antonio",22,ENG,U,22,*Venue: Court 2,N,N
PEPC 10,PFT-A4,FUNDAMENTAL MOVEMENT FOR HEALTH AND FITNESS,2,"M-TH 0800-0900
(FULLY ONSITE)",TBA,"BORJA, Julie Pearl",22,ENG,U,22,*Venue: Court 3,N,N
PEPC 10,PFT-A5,FUNDAMENTAL MOVEMENT FOR HEALTH AND FITNESS,2,"M-TH 0800-0900
(FULLY ONSITE)",TBA,"GONZALES, MARIA CAMILLE BIANCA A.",22,ENG,U,22,*Venue: Court 3,N,N
PEPC 10,PFT-A6,FUNDAMENTAL MOVEMENT FOR HEALTH AND FITNESS,2,"M-TH 0800-0900
(FULLY ONSITE)",TBA,"REBADOMIA, Francis Mae",22,ENG,U,22,*Venue: Court 4,N,N
PEPC 10,PFT-A7,FUNDAMENTAL MOVEMENT FOR HEALTH AND FITNESS,2,"M-TH 0800-0900
(FULLY ONSITE)",TBA,"BARTOLOME, MA. KRISTINA BEATRIZ A.",22,ENG,U,22,*Venue: Court 4,N,N
PEPC 10,PFT-A8,FUNDAMENTAL MOVEMENT FOR HEALTH AND FITNESS,2,"M-TH 0800-0900
(FULLY ONSITE)",TBA,"VINARAO, MA VANESSA G.",22,ENG,U,22,*Venue: Court 5,N,N
PEPC 10,PFT-A9,FUNDAMENTAL MOVEMENT FOR HEALTH AND FITNESS,2,"M-TH 0800-0900
(FULLY ONSITE)",TBA,"IRIOLA, RAMIL B.",22,ENG,U,22,*Venue: Court 5,N,N
