Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
ATMOS 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ATMOS 298.66,SUB-A,SUBMISSION OF FINAL CAPSTONE PROJECT,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ATMOS 298.77,SUB-B,SUBMISSION OF FINAL CAPSTONE PROJECT,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ATMOS 299.19,Z1,THESIS PROPOSAL DEFENSE,0,"W-SAT 1830-2000
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ATMOS 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ATMOS 299.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ATMOS 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ATMOS 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
PHYS 20.01,A,"ELEMENTARY PHYSICS I, LECTURE",2,"M-TH 0800-0930
(FULLY ONSITE)",F-106,"CULABA, IVAN B.",30,ENG,U,30,-,N,N
PHYS 20.01,B,"ELEMENTARY PHYSICS I, LECTURE",2,"M-TH 0930-1100
(FULLY ONSITE)",F-304,"CULABA, IVAN B.",30,ENG,U,30,-,N,N
PHYS 20.01,B1,"ELEMENTARY PHYSICS I, LECTURE",2,"M-TH 0930-1100
(FULLY ONSITE)",F-116,"TBA, -",25,ENG,U,25,-,N,N
PHYS 20.01,J,"ELEMENTARY PHYSICS I, LECTURE",2,"T-F 0800-0930
(FULLY ONSITE)",F-304,"CULABA, IVAN B.",30,ENG,U,30,-,N,N
PHYS 20.01,M,"ELEMENTARY PHYSICS I, LECTURE",2,"T-F 1230-1400
(FULLY ONSITE)",F-304,"CULABA, IVAN B.",30,ENG,U,30,-,N,N
PHYS 20.02,LAB1-NO2,"ELEMENTARY PHYSICS I, LABORATORY",1,"T 1500-1700
(FULLY ONSITE)",SEC-C105A,"TBA, -",20,ENG,U,20,-,N,N
