Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
DECSC 25,B,CREATIVE THINKING AND INNOVATION MANAGEMENT,3,"M-TH 0930-1100
(FULLY ONSITE)",SOM 106,"ASINAS, MARIA CARMEN VICENTA N.",25,ENG,U,25,*OPEN TO ALL,N,N
DECSC 25,D,CREATIVE THINKING AND INNOVATION MANAGEMENT,3,"M-TH 1230-1400
(FULLY ONSITE)",SOM 106,"SAMSON, ARAN V.",19,ENG,U,19,ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS. ALL SLOTS FOR 4TH YEAR BS MGT-H MAJORS.,N,N
DECSC 25,E,CREATIVE THINKING AND INNOVATION MANAGEMENT,3,"M-TH 1400-1530
(FULLY ONSITE)",SOM 106,"SAMSON, ARAN V.",25,ENG,U,25,ALL SLOTS FOR SOM STUDENTS. *OPEN TO ALL EXCEPT FOR BS MGT-H MAJORS.,N,N
DECSC 31,H,DECISION ANALYSIS,3,"M-TH 1830-2000
(FULLY ONSITE)",SEC-A203,"PISIG, Lorenzo Ma. Raphael",25,ENG,U,25,-,N,N
DECSC 33,GTH,INTRODUCTION TO BUSINESS ANALYTICS,3,"TH 1700-2000
(FULLY ONSITE)",SOM 106,"ANI, Chester Duane",25,ENG,U,25,*OPEN TO ALL EXCEPT FOR BS ME MAJORS. FOR SPECIALIZATION/MINOR IN IT MANAGEMENT.,N,N
DECSC 33,RT,INTRODUCTION TO BUSINESS ANALYTICS,3,"T 1800-2100
(FULLY ONSITE)",CTC 114,"ANI, Chester Duane",25,ENG,U,25,*OPEN TO ALL EXCEPT FOR BS ME MAJORS. FOR SPECIALIZATION/MINOR IN IT MANAGEMENT.,N,N
DECSC 132,GM,MARKETING ANALYTICS,3,"M 1700-2000
(FULLY ONSITE)",SEC-A209,"CHAN, JAN ADRIAN G., TAN, RENZO ROEL P.",21,ENG,U,21,ALL SLOTS FOR 4TH YEAR BS ME MAJORS.,N,N
DECSC 134,IM,FINANCIAL ANALYTICS AND APPLICATIONS OF QUANTITATIVE FINANCE,3,"M 1800-2100
(FULLY ONSITE)",SEC-A116,"ANI, Chester Duane",21,ENG,U,21,ALL SLOTS FOR 4TH YEAR BS ME MAJORS.,N,N
DECSC 134,YZS,FINANCIAL ANALYTICS AND APPLICATIONS OF QUANTITATIVE FINANCE,3,"SAT 1800-2100
(FULLY ONSITE)",SOM 106,"ALLADO, Armin Paul",21,ENG,U,21,ALL SLOTS FOR 4TH YEAR BS ME MAJORS. *Validate with MEM 278,N,N
DECSC 134,YZW,FINANCIAL ANALYTICS AND APPLICATIONS OF QUANTITATIVE FINANCE,3,"W 1800-2100
(FULLY ONSITE)",SOM 106,"ANI, Chester Duane",25,ENG,U,25,ALL SLOTS FOR 4TH YEAR BS ME MAJORS.,N,N
