Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
ANTH 141.2,E,ANTHROPOLOGY OF SOUTHEAST ASIA,3,"M-TH 1400-1530
(FULLY ONSITE)",F-AVR,"ZIALCITA, FERNANDO N.",80,ENG,U,80,ALL SLOTS FOR AB Dip IR MAJORS. ALL SLOTS FOR ANTHROPOLOGY MINORS. ALL SLOTS FOR AB SOCIO MAJORS. ALL SLOTS FOR JTA CROSS REG-IXS MAJORS.,N,N
ANTH 168,B1,ANTHROPOLOGY OF HEALTH,3,"M-TH 0930-1100
(FULLY ONSITE)",B-105,"ROLDAN, SUZANNA R.",20,ENG,U,20,-,N,N
ANTH 168,C,ANTHROPOLOGY OF HEALTH,3,"M-TH 1100-1230
(FULLY ONSITE)",B-105,"ROLDAN, SUZANNA R.",20,ENG,U,20,ALL SLOTS FOR BS HS MAJORS. ALL SLOTS FOR JTA CROSS REG-IXS MAJORS. ALL SLOTS FOR ANTHROPOLOGY MINORS. ALL SLOTS FOR SOCIOLOGY SPECIALIZATION.,N,N
ANTH 292,ZZZ,RESEARCH STRATEGIES,3,"TUTORIAL 0000-0000
(FULLY ONLINE)",TBA,"NAVARRA, Melissa, WUI, Ma. Glenda",12,ENG,G,12,-,N,N
ANTH 293.1,YYY,FUNDAMENTAL STATISTICS,3,"TBA
(FULLY ONLINE)",TBA,"CLAMOR, Wilfred Luis, NAVARRA, Melissa",12,ENG,G,12,-,N,N
SOAN 103.7,WX1,FEMINIST THEORIES,3,"W 1400-1700
(FULLY ONSITE)",B-105,"EVIOTA, ELIZABETH U.",15,ENG,U,15,-,N,N
SOAN 123.1,ZZZ,CITIES AND SOCIETY,3,"TUTORIAL 0000-0000
(FULLY ONSITE)",TBA,"PORIO, EMMA E.",12,ENG,U,12,-,N,N
SOAN 148,C,INTRODUCTION TO CULTURAL HERITAGE,3,"M-TH 1100-1230
(FULLY ONSITE)",F-AVR,"ZIALCITA, FERNANDO N.",15,ENG,U,15,-,N,N
SOAN 223,ZZZ,RISK AND RESILLIENCE: FOCUS ON CLIMATE DISASTERS AND HUMANITARIAN ACTION,3,"TUTORIAL 0000-0000
(~)",TBA,"PORIO, EMMA E.",12,ENG,G,12,-,N,N
SOAN 292.1,ZZZ,RESEARCH IN SOCIAL SYSTEMS,3,"TUTORIAL 0000-0000
(~)",TBA,"TORRES, Wilfredo",1,ENG,G,1,-,N,N
SOAN 292.1,ZZZ1,RESEARCH IN SOCIAL SYSTEMS,3,"TUTORIAL 0000-0000
(~)",TBA,"NAVARRA, Melissa",1,ENG,G,1,-,N,N
SOAN 292.1,ZZZ10,RESEARCH IN SOCIAL SYSTEMS,3,"TUTORIAL 0000-0000
(~)",TBA,"WUI, Ma. Glenda",1,ENG,G,1,-,N,N
