Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
SocSc 11,J2,UNDERSTANDING THE SELF,3,"T-F 0800-0930
(FULLY ONSITE)",B-103,"FABUL, Jonah",30,ENG,U,30,-,N,N
SocSc 11,PSY-A,UNDERSTANDING THE SELF,3,"M-TH 0800-0930
(FULLY ONSITE)",B-208,"SY, Janine Michelle, TBA, -",30,ENG,U,30,-,N,N
SocSc 11,PSY-A1,UNDERSTANDING THE SELF,3,"M-TH 0800-0930
(FULLY ONSITE)",B-104,"TBA, -",30,ENG,U,30,-,N,N
SocSc 11,PSY-A2,UNDERSTANDING THE SELF,3,"M-TH 0800-0930
(FULLY ONSITE)",B-207,"TBA, -",30,ENG,U,30,-,N,N
SocSc 11,PSY-B2,UNDERSTANDING THE SELF,3,"M-TH 0930-1100
(FULLY ONSITE)",B-209,"DE GUZMAN, Mira Michelle Angeli",30,ENG,U,30,-,N,N
SocSc 11,PSY-D1,UNDERSTANDING THE SELF,3,"M-TH 1230-1400
(FULLY ONSITE)",B-106,"VIOLAGO, Joseph Eleut",30,ENG,U,30,-,N,N
SocSc 11,PSY-E,UNDERSTANDING THE SELF,3,"M-TH 1400-1530
(FULLY ONSITE)",F-113,"VIOLAGO, Joseph Eleut",30,ENG,U,30,-,N,N
SocSc 11,PSY-J,UNDERSTANDING THE SELF,3,"T-F 0800-0930
(FULLY ONSITE)",F-115,"GAMALINDA, Tristan",30,ENG,U,30,-,N,N
SocSc 11,PSY-J1,UNDERSTANDING THE SELF,3,"T-F 0800-0930
(FULLY ONSITE)",K-202,"SOLER, Mary Kathleen",30,ENG,U,30,-,N,N
SocSc 11,PSY-K1,UNDERSTANDING THE SELF,3,"T-F 0930-1100
(FULLY ONSITE)",B-103,"FABUL, Jonah",30,ENG,U,30,-,N,N
SocSc 11,PSY-L,UNDERSTANDING THE SELF,3,"T-F 1100-1230
(FULLY ONSITE)",B-103,"REYES, JENNEL DREZZA FE C.",30,ENG,U,30,-,N,N
