Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
TMP 201,YYY,REVELATION-FAITH,3,"TBA
(~)",LST,"AQUINO, SJ, FR. ARNEL",30,ENG,G,30,ALL SLOTS FOR TMP STUDENTS.,N,N
TMP 201,YYY1,REVELATION-FAITH,3,"TBA
(~)",LST,"YAP, Joaquin",30,ENG,G,30,ALL SLOTS FOR TMP STUDENTS.,N,N
TMP 201,YYY2,REVELATION-FAITH,3,"TBA
(FULLY ONSITE)",LST,"REBUSTILLO, Rowan",40,ENG,G,40,-,N,N
TMP 202,YYY,FUNDAMENTAL MORAL THEOLOGY,3,"TBA
(~)",LST,"GENILO, FR. ERIC MARCELO",30,ENG,G,30,ALL SLOTS FOR TMP STUDENTS.,N,N
TMP 202,YYY1,FUNDAMENTAL MORAL THEOLOGY,3,"TBA
(~)",LST,"BABOR MSC, ABUNDIO JR.",30,ENG,G,30,ALL SLOTS FOR TMP STUDENTS.,N,N
TMP 202,YYY2,FUNDAMENTAL MORAL THEOLOGY,3,"TBA
(FULLY ONSITE)",LST,"TBA, -",40,ENG,G,40,-,N,N
TMP 211.04,YYY,INTRODUCTION TO THE OLD TESTAMENT,3,"TBA
(~)",LST,"CATAN, Moses Jarvis",30,ENG,G,30,ALL SLOTS FOR TMP STUDENTS.,N,N
TMP 211.10,YYY,PENTATEUCHAL STUDIES,3,"TBA
(~)",LST,"TBA, -",30,ENG,G,30,ALL SLOTS FOR TMP STUDENTS.,N,N
TMP 211.10,YYY1,PENTATEUCHAL STUDIES,3,"TBA
(~)",LST,"TEH, Abigail",30,ENG,G,30,ALL SLOTS FOR TMP STUDENTS.,N,N
TMP 211.81,YYY,PSALMS AND WISDOM LITERATURE,3,"TBA
(~)",LST,"ALVAREZ, SJ, FR. FRANCIS",30,ENG,G,30,ALL SLOTS FOR TMP STUDENTS.,N,N
TMP 211.81,YYY1,PSALMS AND WISDOM LITERATURE,3,"TBA
(FULLY ONSITE)",LST,"TBA, -",40,ENG,G,40,-,N,N
TMP 212.20,YYY,SYNOPTICS,3,"TBA
(~)",LST,"ALVAREZ, SJ, FR. FRANCIS",30,ENG,G,30,ALL SLOTS FOR TMP STUDENTS.,N,N
TMP 212.30,YYY,JOHN,3,"TBA
(FULLY ONSITE)",LST,"ABAIS, S.J., FR. ROGEL ANECITO L.",40,ENG,G,40,-,N,N
TMP 213,YYY,BIBLICAL HERMENEUTICS AND RESEARCH METHODS,3,"TBA
(FULLY ONSITE)",LST,"RAMIREZ, S.J., FR. FELIPE FRUTO LL.",40,ENG,G,40,-,N,N
TMP 221.05,YYY,INTRODUCTION INTO THE MYSTERY OF FAITH,3,"TBA
(~)",LST,"BUDI, FR. HARTONO, S.J.",30,ENG,G,30,-,N,N
TMP 221.11,YYY,GOD ONE AND TRIUNE,3,"TBA
(~)",LST,"YAP, Joaquin",30,ENG,G,30,-,N,N
TMP 221.34,YYY,SOTERIOLOGY AND MARIOLOGY,3,"TBA
(~)",LST,"FRANCISCO, SJ, FR. MANUEL V.",30,ENG,G,30,-,N,N
