"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"BIO 12.01","C","BIOTECHNOLOGY FOR EVERYONE, LECTURE","3","D 1100-1230(FULLY ONSITE)","SEC-A116","GARCIA, Maia Patricia","20","ENG","U","2","20 SLOT(S) FOR BS CS MAJORS. 20 SLOT(S) FOR BS CS-DGDD MAJORS.","N","N"
"BIO 12.01","D","BIOTECHNOLOGY FOR EVERYONE, LECTURE","3","D 1230-1400(FULLY ONSITE)","SEC-A116","TBA, -","30","ENG","U","27","-","N","N"
"BIO 32","B","BIOSCIENCE ENTERPRISE","3","D 0930-1100(FULLY ONSITE)","SEC-A116","AGUIRRE, ARIEL LORENZO J II Y.","40","ENG","U","0","*For pre-enlisted students only.","N","N"
"BIO 100.01","B","GENERAL ZOOLOGY, LECTURE","3","D 0930-1100(FULLY ONSITE)","CTC 302","BARROGA, Luigi","30","ENG","U","23","-","N","N"
"BIO 100.01","C","GENERAL ZOOLOGY, LECTURE","3","D 1100-1230(FULLY ONSITE)","SEC-A117","BARROGA, Luigi","30","ENG","U","8","-","N","N"
"BIO 100.02","LABKL","GENERAL ZOOLOGY, LABORATORY","2","F 1300-1700; M 1300-1730; W 1300-1700(FULLY ONSITE)","SEC-B305A; SEC-B305A; SEC-B305A","RELLES, John Moises","30","ENG","U","29","-","N","N"
"BIO 100.02","LABKL3","GENERAL ZOOLOGY, LABORATORY","2","F 1300-1700; M 1300-1700; W 1300-1700(FULLY ONSITE)","SEC-B106A; SEC-B106A; SEC-B106A","BARROGA, Luigi","30","ENG","U","1","-","N","N"
"BIO 120.01","A","MICROBIOLOGY, LECTURE","3","D 0800-0930(FULLY ONSITE)","SEC-A116","MAINI, ZOMESH A.","30","ENG","U","9","-","N","N"
"BIO 120.01","B","MICROBIOLOGY, LECTURE","3","D 0930-1100(FULLY ONSITE)","SEC-A117","MAINI, ZOMESH A.","30","ENG","U","0","-","N","N"
"BIO 120.01","E","MICROBIOLOGY, LECTURE","3","D 1400-1530(FULLY ONSITE)","SEC-A116","GATCHALIAN, Pamela","30","ENG","U","0","-","N","N"
"BIO 120.01","F","MICROBIOLOGY, LECTURE","3","D 1530-1700(FULLY ONSITE)","SEC-A116","DE GUZMAN, Ivan Adrian","30","ENG","U","0","-","N","N"
"BIO 120.02","LABAC","MICROBIOLOGY, LABORATORY","2","M 0800-1200; T 0800-1200; TH 0800-1200(FULLY ONSITE)","B-305; B-305; B-305","DE GUZMAN, Ivan Adrian","30","ENG","U","0","-","N","N"
"BIO 120.02","LABEF","MICROBIOLOGY, LABORATORY","2","M 1300-1700; T 1300-1700; TH 1300-1700(FULLY ONSITE)","B-305; B-305; B-305","SY, Jenica Clarisse","30","ENG","U","0","-","N","N"
"BIO 120.02","LABIJ2","MICROBIOLOGY, LABORATORY","2","F 0800-1200; M 0800-1200; W 0800-1200(FULLY ONSITE)","SEC-B105A; SEC-B105A; SEC-B105A","GATCHALIAN, Pamela","30","ENG","U","0","-","N","N"
"BIO 120.02","LABKL","MICROBIOLOGY, LABORATORY","2","F 1300-1700; M 1300-1700; W 1300-1700(FULLY ONSITE)","SEC-B105A; SEC-B105A; SEC-B105A","LIBUNAO, Joseph Conrad","30","ENG","U","14","-","N","N"
"BIO 143.01","A","BIOTECHNOLOGY, LECTURE","3","D 0800-0930(FULLY ONSITE)","CTC 303","BRAGAIS, Edward Kevin","30","ENG","U","5","-","N","N"
"BIO 143.01","A1","BIOTECHNOLOGY, LECTURE","3","D 0800-0930(FULLY ONSITE)","CTC 216","TBA, -","30","ENG","U","0","-","N","N"
"BIO 143.02","LABKL","BIOTECHNOLOGY, LABORATORY","2","F 1300-1700; M 1300-1700; W 1300-1700(FULLY ONSITE)","G-303; G-303; G-303","BRAGAIS, Edward Kevin","30","ENG","U","0","-","N","N"
"BIO 143.02","LABKL1","BIOTECHNOLOGY, LABORATORY","2","F 1300-1700; M 1300-1700; W 1300-1700(FULLY ONSITE)","SEC-B106A; SEC-B106A; SEC-B106A","TBA, -","30","ENG","U","6","-","N","N"
"BIO 160.01","A","EVOLUTIONARY BIOLOGY, LECTURE","3","D 0800-0930(FULLY ONSITE)","SEC-A117","TBA, -","35","ENG","U","0","-","N","N"
"BIO 160.01","B","EVOLUTIONARY BIOLOGY, LECTURE","3","D 0930-1100(FULLY ONSITE)","CTC 216","TBA, -","35","ENG","U","0","-","N","N"
"BIO 160.01","E","EVOLUTIONARY BIOLOGY, LECTURE","3","D 1400-1530(FULLY ONSITE)","SEC-A117","GELLYNCK, MARC P.","30","ENG","U","0","-","N","N"
"BIO 160.01","F","EVOLUTIONARY BIOLOGY, LECTURE","3","D 1530-1700(FULLY ONSITE)","SEC-A117","RONDOLO, Irvin","30","ENG","U","21","-","N","N"
"BIO 160.02","LABIJ","EVOLUTIONARY BIOLOGY, LABORATORY","2","F 0800-1200; M 0800-1200; W 0800-1200(FULLY ONSITE)","SEC-B105A; SEC-B105A; SEC-B105A","RONDOLO, Irvin","30","ENG","U","23","-","N","N"
