"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"COMM 190","J","COMMUNICATION SEMINAR: CONTEMPORARY ISSUES IN COMMUNICATION","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","SS CONF 6; SS CONF 6","DAGLE, Robbin Charles","20","ENG","U","12","*Pre-req: COMM 20, COMM 21","N","N"
"COMM 193","N","QUANTITATIVE METHODS IN COMMUNICATION RESEARCH","3","F 1200-1600; T 1130-1500(FULLY ONSITE)","SS CONF 6; SS CONF 6","HERNANDO, Leonor","20","ENG","U","2","*PRE-REQ: COMM 20, COMM 21","N","N"
"COMM 197","A","PRACTICUM","3","D 0800-0930(FULLY ONSITE)","SS CONF 5","PARIS, Janella Grace","16","ENG","U","0","ALL SLOTS FOR 4TH YEAR AB COM MAJORS. *PRE-REQ: COMM 190, COMM 193, COMM 194","N","N"
"COMM 197","B","PRACTICUM","3","D 0930-1100(FULLY ONSITE)","SS CONF 5","VASWANI, SERENA M.","17","ENG","U","0","ALL SLOTS FOR 4TH YEAR AB COM MAJORS. *PRE-REQ: COMM 190, COMM 193, COMM 194","N","N"
"COMM 197","C","PRACTICUM","3","D 1100-1230(FULLY ONSITE)","SS CONF 5","COX, CHRISTINE ANNE R.","17","ENG","U","0","ALL SLOTS FOR 4TH YEAR AB COM MAJORS. *PRE-REQ: COMM 190, COMM 193, COMM 194","N","N"
"COMM 197","D","PRACTICUM","3","D 1230-1400(FULLY ONSITE)","SS CONF 5","QUE, GILBERT JACOB S.","17","ENG","U","0","ALL SLOTS FOR 4TH YEAR AB COM MAJORS. *PRE-REQ: COMM 190, COMM 193, COMM 194","N","N"
"COMM 197","E","PRACTICUM","3","D 1400-1530(FULLY ONSITE)","SS CONF 5","LORENZANA, JOZON A.","16","ENG","U","0","*Pre-req: COMM 190, COMM 193, COMM 194","N","N"
"COMM 197","I","PRACTICUM","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","SS CONF 6; SS CONF 6","TY, ANDREW ALBERT J.","16","ENG","U","0","*PRE-REQ: COMM 190, COMM 193, COMM 194","N","N"
"COMM 199.2","ZZZ","COMMUNICATION THESIS 2","3","TUTORIAL 0000-0000(FULLY ONLINE)","TBA","TY, ANDREW ALBERT J.","3","ENG","U","3","*PRE-REQUISITE: COMM 199.1","N","N"
"COMM 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"COMM 298","CAPS","INDEPENDENT STUDY","3","TBA(~)","TBA","LORENZANA, JOZON A.","50","ENG","G","50","-","N","N"
"COMM 298","CAPS1","INDEPENDENT STUDY","3","TBA(~)","TBA","SARMENTA, JR., SEVERINO R.","50","ENG","G","50","*Thesis Class","N","N"
"COMM 298","CAPS2","INDEPENDENT STUDY","3","TBA(~)","TBA","VALBUENA, VICTOR T.","50","ENG","G","50","*Thesis Class","N","N"
"COMM 298","CAPS3","INDEPENDENT STUDY","3","TBA(~)","TBA","VICENCIO, AARON R.","50","ENG","G","50","*Thesis Class","N","N"
"COMM 299.1","THES/DISS","THESIS I","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"COMM 299.2","THES/DISS","THESIS II","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"COMM 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"COMM 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"JRN 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"JRN 298.1","CAPS","MASTER'S PROJECT 1","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"JRN 298.2","CAPS","MASTER'S PROJECT 2","6","TBA(~)","TBA","PALACIOS, ROWENA ANTHEA A., TBA, -","50","ENG","G","50","-","N","N"
"JRN 298.2","CAPS1","MASTER'S PROJECT 2","6","TBA(~)","TBA","WONG, CHIN WAH Y.","50","ENG","G","50","*Thesis Class","N","N"
"JRN 298.2","CAPS10","MASTER'S PROJECT 2","6","TBA(~)","TBA","VALBUENA, VICTOR T.","50","ENG","G","50","*Thesis Class","N","N"
"JRN 298.2","CAPS2","MASTER'S PROJECT 2","6","TBA(~)","TBA","BURGOS, ARLENE B.","50","ENG","G","50","*Thesis Class","N","N"
"JRN 298.2","CAPS3","MASTER'S PROJECT 2","6","TBA(~)","TBA","CRUZ, Maria Concepcion","50","ENG","G","50","*Thesis Class","N","N"
"JRN 298.2","CAPS4","MASTER'S PROJECT 2","6","TBA(~)","TBA","DE VERA, RUEL S.","50","ENG","G","50","*Thesis Class","N","N"
"JRN 298.2","CAPS5","MASTER'S PROJECT 2","6","TBA(~)","TBA","JAVIER, Samantha","50","ENG","G","50","*Thesis Class","N","N"
"JRN 298.2","CAPS6","MASTER'S PROJECT 2","6","TBA(~)","TBA","RIMBAN, LUZ R.","50","ENG","G","50","*Thesis Class","N","N"
"JRN 298.2","CAPS7","MASTER'S PROJECT 2","6","TBA(~)","TBA","PONCE DE LEON, MARIA INEZ ANGELA Z.","50","ENG","G","50","*Thesis Class","N","N"
"JRN 298.2","CAPS8","MASTER'S PROJECT 2","6","TBA(~)","TBA","VICENCIO, AARON R.","50","ENG","G","50","*Thesis Class","N","N"
"JRN 298.2","CAPS9","MASTER'S PROJECT 2","6","TBA(~)","TBA","LORENZANA, JOZON A.","50","ENG","G","50","*Thesis Class","N","N"
