"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"CPA 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","47","-","N","N"
"CPA 298.2","CAPS","PROJECT DEVELOPMENT AND PRESENTATION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298.3","CAPS","PROJECT DEVELOPMENT AND PRESENTATION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298","CAPS","INTEGRATING PAPER","6","TBA(~)","TBA","ALEJO, MA RESURRECCION P., TBA, -","10","ENG","G","9","-","N","N"
"CPA 299.1","THES","THESIS I","0","TBA(FULLY ONSITE)","TBA","TBA, -","20","ENG","G","20","-","N","N"
"CPA 299.2","THES","THESIS II","0","TBA(FULLY ONSITE)","TBA","TBA, -","20","ENG","G","20","-","N","N"
"CPA 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"CPA 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 396","COMP","COMPREHENSIVE EXAM","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 399.1","THES/DISS","DISSERTATION 1","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 399.2","THES/DISS","DISSERTATION 2","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EDUC 101i","M","HISTORICAL AND PHILOSOPHICAL FOUNDATIONS OF EDUCATION","3","F 0800-1200; T 0800-1130(FULLY ONSITE)","SS-282; SS-282","NATERA, KAREN DIANE S.","28","ENG","U","0","-","N","N"
"EDUC 132i","N","EDUCATIONAL PSYCHOLOGY","3","F 1200-1600; T 1130-1500(FULLY ONSITE)","SS-282; SS-282","NICDAO, RHODORA F.","32","ENG","U","0","-","N","N"
"EDUC 230.1","K","EFFECTIVE TEACHING STRATEGIES","3","M 1500-1830; TH 1600-2000(~)","TBA; TBA","NICDAO, RHODORA F.","2","ENG","G","0","-","N","N"
"EDUC 251","CPA","MEDIA AND TECHNOLOGY APPLICATION","3","F 1700-2130; T 1700-2000(FULLY ONSITE)","TBA; TBA","NGO, GALVIN RADLEY L.","20","ENG","G","7","*Learning Collaboratory Schedule (Onsite): July 5, 6, & 13, 2024; 8:00 AM-5:00PM","N","N"
"EDUC 263.3","CPA1","PERSONALITY AND COUNSELING THEORIES","3","F 1700-2130; T 1700-2130(FULLY ONSITE)","TBA; TBA","VELOSO, MARITES R.","20","ENG","G","16","*Learning Collaboratory Schedule (Onsite): July 5, 6, & 13, 2024; 8:00 AM-5:00PM","N","N"
"EDUC 292","KO","METHODS AND MATERIALS OF RESEARCH","3","T 1500-1830; TH 1600-2000(FULLY ONSITE)","TBA; TBA","MARTIN, MARIA ISABEL P.","15","ENG","G","11","*ALL SLOTS FOR MSSE MAJORS Learning Collaboratory ONSITE Schedule: July 6, 9, & 11, 2024; 8:00 am-5:00 pm","N","N"
