"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ECON 110","A","PRINCIPLES OF ECONOMICS","3","D 0800-0930(FULLY ONSITE)","CTC 206","CHUA, ROBERT LANCE C.","30","ENG","U","0","-","N","N"
"ECON 110","B","PRINCIPLES OF ECONOMICS","3","D 0930-1100(FULLY ONSITE)","CTC 206","CHUA, ROBERT LANCE C.","30","ENG","U","0","-","N","N"
"ECON 110","D","PRINCIPLES OF ECONOMICS","3","D 1230-1400(FULLY ONSITE)","CTC 106","SIMON-KING, PATRICK GERARD C.","30","ENG","U","0","-","N","N"
"ECON 110","I","PRINCIPLES OF ECONOMICS","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","CTC 118; CTC 118","MAGANTE, Maire Carroline","60","ENG","U","0","-","N","N"
"ECON 110","J","PRINCIPLES OF ECONOMICS","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","CTC 118; CTC 118","MAGANTE, Maire Carroline","60","ENG","U","0","-","N","N"
"ECON 110","J1","PRINCIPLES OF ECONOMICS","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","SEC-B201A; SEC-B201A","PEÑA-REYES, SER PERCIVAL K.","60","ENG","U","0","-","N","N"
"ECON 110","K","PRINCIPLES OF ECONOMICS","3","M 1500-1830; TH 1600-2000(FULLY ONSITE)","CTC 118; CTC 118","PEÑA-REYES, SER PERCIVAL K.","60","ENG","U","0","-","N","N"
"ECON 110","M","PRINCIPLES OF ECONOMICS","3","F 0800-1200; T 0800-1130(FULLY ONSITE)","K-302; K-302","MUYRONG, MARJORIE S.","30","ENG","U","0","-","N","N"
"ECON 110","N","PRINCIPLES OF ECONOMICS","3","F 1200-1600; T 1130-1500(FULLY ONSITE)","CTC 206; K-302","MUYRONG, MARJORIE S.","30","ENG","U","0","-","N","N"
"ECON 110","O","PRINCIPLES OF ECONOMICS","3","F 1600-2000; T 1500-1830(FULLY ONSITE)","CTC 206; CTC 206","YAPTANGCO, EDWIN E.","30","ENG","U","3","-","N","N"
"ECON 111","N","INTERMEDIATE MICROECONOMIC THEORY","3","F 1200-1600; T 1130-1500(FULLY ONSITE)","CTC 304; CTC 304","CRUZ, JAN FREDRICK P.","25","ENG","U","4","-","N","N"
"ECON 112","J","INTERMEDIATE MACROECONOMIC THEORY","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","K-301; K-301","SAPLALA, DINO CARLO A.","25","ENG","U","15","-","N","N"
"ECON 140","E","INDUSTRIAL ORGANIZATION","3","D 1400-1530(FULLY ONSITE)","CTC 106","SIMON-KING, PATRICK GERARD C.","2","ENG","U","1","-","N","N"
"ECON 185.65i","K","ECONOMICS OF LABOR AND EMPLOYMENT LAW","3","M 1500-1830; TH 1600-2000(FULLY ONSITE)","CTC 308; CTC 308","GAMBOA, Jayvy","30","ENG","U","0","-","N","N"
"ECON 185.65i","O","ECONOMICS OF LABOR AND EMPLOYMENT LAW","3","F 1600-2000; T 1500-1830(FULLY ONSITE)","CTC 304; CTC 304","GAMBOA, Jayvy","30","ENG","U","0","-","N","N"
"ECON 197","SXS1","PRACTICUM","3","SAT 0800-1100; SAT 1230-1700(FULLY ONSITE)","CTC 206; CTC 206","BARRER, Reginald Rex","36","ENG","U","0","-","N","N"
"ECON 197","SXS1A","PRACTICUM","3","SAT 0800-1100; SAT 1230-1700(FULLY ONSITE)","SEC-A205; SEC-A205","MAYO, Charlon","36","ENG","U","0","-","N","N"
"ECON 197","SXW1","PRACTICUM","3","W 0800-1100; W 1230-1700(FULLY ONSITE)","K-301; CTC 304","MAYO, Charlon","36","ENG","U","5","-","N","N"
"ECON 296","COMP","COMPREHENSIVE EXAMINATION","0","TBA(~)","TBA","TBA, -","50","ENG","G","38","-","N","N"
"ECON 299.1","THES/DISS","MASTER'S THESIS","0","TBA(FULLY ONLINE)","TBA","ANG, ALVIN P.","1","ENG","G","0","-","N","N"
"ECON 396","COMP","COMPREHENSIVE EXAMINATION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 399.1","THES/DISS","DISSERTATION I","0","TBA(FULLY ONLINE)","TBA","TAN, ROSALINA P.","1","ENG","G","0","-","N","N"
"ECON 399.1","THES/DISS1","DISSERTATION I","0","TBA(FULLY ONLINE)","TBA","BEJA, EDSEL, JR. L., DUCANES, Geoffrey","1","ENG","G","0","-","N","N"
"ECON 399.1","THES/DISS2","DISSERTATION I","0","TBA(FULLY ONLINE)","TBA","ANG, ALVIN P.","1","ENG","G","0","-","N","N"
"ECON 399.5","RESID","RESIDENCY","0","TBA(FULLY ONSITE)","TBA","TBA, -","25","ENG","G","24","-","N","N"
"ECON 399.6","YYY","FINAL PAPER SUBMISSION","0","TBA(FULLY ONSITE)","TBA","TBA, -","25","ENG","G","23","-","N","N"
"ECON 399.7","YYY","FINAL PAPER SUBMISSION","0","TBA(FULLY ONSITE)","TBA","TBA, -","25","ENG","G","25","-","N","N"
