"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ENE 13.04i","B","STORY AND NARRATIVE IN MANAGEMENT","3","D 0930-1100(FULLY ONSITE)","CTC 104","AGUSTIN, ROY TRISTAN B.","25","ENG","U","0","-","N","N"
"ENE 13.04i","B1","STORY AND NARRATIVE IN MANAGEMENT","3","D 0930-1100(FULLY ONSITE)","SEC-A118A","ADANTE, IRISH GENEVIEVE L.","25","ENG","U","0","-","N","N"
"ENE 13.04i","B2","STORY AND NARRATIVE IN MANAGEMENT","3","D 0930-1100(FULLY ONSITE)","SEC-A203","GUEVARRA, ALONA U.","25","ENG","U","0","-","N","N"
"ENE 13.04i","C","STORY AND NARRATIVE IN MANAGEMENT","3","D 1100-1230(FULLY ONSITE)","CTC 104","AGUSTIN, ROY TRISTAN B.","25","ENG","U","0","-","N","N"
"ENE 13.04i","C1","STORY AND NARRATIVE IN MANAGEMENT","3","D 1100-1230(FULLY ONSITE)","CTC 302","ADANTE, IRISH GENEVIEVE L.","25","ENG","U","0","-","N","N"
"ENE 13.04i","D","STORY AND NARRATIVE IN MANAGEMENT","3","D 1230-1400(FULLY ONSITE)","CTC 104","GUEVARRA, ALONA U.","25","ENG","U","0","-","N","N"
"ENE 13.04i","D1","STORY AND NARRATIVE IN MANAGEMENT","3","D 1230-1400(FULLY ONSITE)","SEC-A203","DEL PRADO, JOHN ANDREW M.","25","ENG","U","0","-","N","N"
"ENE 13.04i","E","STORY AND NARRATIVE IN MANAGEMENT","3","D 1400-1530(FULLY ONSITE)","CTC 104","GUEVARRA, ALONA U.","25","ENG","U","0","-","N","N"
"ENE 13.04i","F","STORY AND NARRATIVE IN MANAGEMENT","3","D 1530-1700(FULLY ONSITE)","CTC 104","DEL PRADO, JOHN ANDREW M.","25","ENG","U","0","-","N","N"
"ENE 13.05i","A","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","D 0800-0930(FULLY ONSITE)","CTC 104","GOMEZ, LUISA L.","30","ENG","U","0","-","N","N"
"ENE 13.05i","B","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","D 0930-1100(FULLY ONSITE)","SEC-A204","ENCISO, Keische Mae","25","ENG","U","0","-","N","N"
"ENE 13.05i","C","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","D 1100-1230(FULLY ONSITE)","SEC-A203","GOMEZ, LUISA L.","25","ENG","U","0","-","N","N"
