"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"DIRR 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","PORIO, EMMA E.","3","ENG","G","3","-","N","N"
"DIRR 298.1","CAPS","PROJECT I","3","TBA(~)","TBA","PORIO, EMMA E.","12","ENG","G","12","-","N","N"
"DIRR 298.2","CAPS","PROJECT II","6","TBA(~)","TBA","PORIO, EMMA E.","12","ENG","G","12","-","N","N"
"ENVI 10.01","B","INTRODUCTION TO ENVIRONMENTAL SCIENCE, LECTURE","3","D 0930-1100(FULLY ONSITE)","SEC-C306A","MENDOZA, Milette","30","ENG","U","0","-","N","N"
"ENVI 10.01","C","INTRODUCTION TO ENVIRONMENTAL SCIENCE, LECTURE","3","D 1100-1230(FULLY ONSITE)","CTC 106","FELICIANO, Giannina Nicole","30","ENG","U","13","-","N","N"
"ENVI 100.03","B","ENVIRONMENTAL MONITORING: FIELD RESEARCH STUDIES","3","D 0930-1100(FULLY ONSITE)","SEC-C307A","FELICIANO, Giannina Nicole, GUZMAN, MA AILEEN LEAH G.","22","ENG","U","6","22 SLOT(S) FOR 4TH YEAR BS ES MAJORS.","N","N"
"ENVI 172i","C","THE ENVIRONMENTAL MOVEMENT: LOCAL AND GLOBAL PERSPECTIVES","3","D 1100-1230(FULLY ONSITE)","SEC-A205","DAYRIT, SOPHIA ANGELI S.","35","ENG","U","0","-","N","N"
"ENVI 280","E9","SPECIAL TOPICS","3","D 1400-1530(FULLY ONSITE)","SEC-A205","GUZMAN, MA AILEEN LEAH G., PORIO, EMMA E.","1","ENG","G","0","-","N","N"
"ENVI 299.1","THES/DISS","THESIS 1 (RESEARCH DESIGN)","0","TBA(FULLY ONSITE)","TBA","BUENAFLOR, Katherine","12","ENG","G","12","-","N","N"
"ENVI 299.2","THES/DISS","THESIS 2 (THESIS WRITING AND DEFENSE)","0","TBA(FULLY ONSITE)","TBA","BUENAFLOR, Katherine","12","ENG","G","11","-","N","N"
"ENVI 396","YYY2","COMPREHENSIVE EXAM","0","TBA(FULLY ONSITE)","TBA","GUZMAN, MA AILEEN LEAH G.","12","ENG","G","10","-","N","N"
"MEM 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(FULLY ONSITE)","TBA","GUZMAN, MA AILEEN LEAH G.","12","ENG","G","12","-","N","N"
"MEM 298","CAPS","MASTER'S PROJECT","2","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"MEM 298","THES","MASTER'S PROJECT","2","TBA(FULLY ONSITE)","CTC 106","GUZMAN, MA AILEEN LEAH G.","1","ENG","G","1","-","N","N"
