"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ARTS 197","G","INTERNSHIP AND PROFESSIONAL EXPOSURE","3","D 1700-1830(FULLY ONSITE)","K-204","YEE, CHARLES IVAN, JR.","25","ENG","U","0","-","N","N"
"ARTS 197","K","INTERNSHIP AND PROFESSIONAL EXPOSURE","3","M 1500-1830; TH 1600-2000(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER; NATIONAL BOOKSTORE ATELIER","CALARA, RAZELLE D.","25","ENG","U","0","ALL SLOTS FOR FA STUDENTS.","N","N"
"ARTS 197","K1","INTERNSHIP AND PROFESSIONAL EXPOSURE","3","M 1500-1830; TH 1600-2000(FULLY ONSITE)","TBA; TBA","VELASCO-WANSOM, MOLINIA ANNE T.","25","ENG","U","10","-","N","N"
"ARTS 197","O","INTERNSHIP AND PROFESSIONAL EXPOSURE","3","F 1600-2000; T 1500-1830(FULLY ONSITE)","INNOVATION 201; INNOVATION 201","INDIAS, JOI MARIE ANGELICA M.","25","ENG","U","0","ALL SLOTS FOR FA STUDENTS.","N","N"
"IDES 102.04","J","DESIGN PROCEDURES: PRINT AND PUBLICATION DESIGN","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","YAO SIU LUN MAC LAB; YAO SIU LUN MAC LAB","MONSOD, TRACY ANN LIBERTY A.","20","ENG","U","0","ALL SLOTS FOR FA STUDENTS.","N","N"
"IDES 102.04","K","DESIGN PROCEDURES: PRINT AND PUBLICATION DESIGN","3","M 1500-1830; TH 1600-2000(FULLY ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB; CO BUN TING AND PO TY LEE CO MAC LAB","LAO, Joan Eunice","20","ENG","U","-1","-","N","N"
"IDES 102.04","M","DESIGN PROCEDURES: PRINT AND PUBLICATION DESIGN","3","F 0800-1200; T 0800-1130(FULLY ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB; CO BUN TING AND PO TY LEE CO MAC LAB","TBA, -","20","ENG","U","0","-","N","N"
"IDES 102.04","N","DESIGN PROCEDURES: PRINT AND PUBLICATION DESIGN","3","F 1200-1600; T 1130-1500(FULLY ONSITE)","YAO SIU LUN MAC LAB; YAO SIU LUN MAC LAB","MONSOD, TRACY ANN LIBERTY A.","20","ENG","U","0","ALL SLOTS FOR FA STUDENTS.","N","N"
"IDES 102.07","J","DESIGN PROCEDURES: CHARACTER DESIGN","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER; NATIONAL BOOKSTORE ATELIER","CALARA, RAZELLE D.","20","ENG","U","0","-","N","N"
"IDES 151","I","STORYBOARDING","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB; CO BUN TING AND PO TY LEE CO MAC LAB","VITUG, PAUL CESAR D.","20","ENG","U","0","ALL SLOTS FOR FA STUDENTS.","N","N"
"IDES 151","J","STORYBOARDING","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB; CO BUN TING AND PO TY LEE CO MAC LAB","VITUG, PAUL CESAR D.","20","ENG","U","0","ALL SLOTS FOR FA STUDENTS.","N","N"
