"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"PNTKN 135.03i","SXW2","MGA PANITIKAN AT PELIKULA NG SIYUDAD: PANAHON NG BATAS MILITAR","3","W 0800-1230; W 1400-1700(FULLY ONSITE)","SEC-A124; SEC-A124","CASTILLO, Harvey James","30","ENG","U","0","-","N","N"
"PNTKN 149.03i","I","KULTURANG POPULAR AT USAPIN NG KASARIAN","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","SEC-A123; SEC-A123","JAMENDANG, JR., YOLANDO B.","30","ENG","U","2","-","N","N"
"PNTKN 197.1","A1","PRAKTIKUM 1: PRAKTIKUM SA AKADEMYA","3","D 0800-0930(FULLY ONSITE)","B-206","TBA, -","40","ENG","U","40","-","N","N"
"PNTKN 197.2","A","PRAKTIKUM 2: PRAKTIKUM SA LABAS NG AKADEMYA","3","D 0800-0930(FULLY ONSITE)","B-204/B-205","TENORIO, JETHRO NINO P.","50","ENG","U","49","-","N","N"
"PNTKN 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PNTKN 299.1","A4","THESIS I","0","D 0800-0930(FULLY ONSITE)","B-307","TBA, -","40","ENG","G","39","-","N","N"
"PNTKN 299.1","THES/DISS","THESIS I","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PNTKN 299.2","B","THESIS II","0","D 0930-1100(FULLY ONSITE)","B-308","TBA, -","40","ENG","G","40","-","N","N"
"PNTKN 299.6","C","FINAL PAPER SUBMISSION (MASTERS)","0","D 1100-1230(FULLY ONSITE)","B-309","TBA, -","40","ENG","G","40","-","N","N"
"PNTKN 299.7","C2","FINAL PAPER SUBMISSION (MASTERS)","0","D 1100-1230(FULLY ONSITE)","B-307","TBA, -","40","ENG","G","40","-","N","N"
"PNTKN 299.7","SUB-B","FINAL PAPER SUBMISSION (MASTERS)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
