"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"HISTO 11","A","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","D 0800-0930(FULLY ONSITE)","BEL-103C","MANAOIS, NEVILLE JAY C.","29","ENG","U","0","-","N","N"
"HISTO 11","B","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","D 0930-1100(FULLY ONSITE)","BEL-103C","MANAOIS, NEVILLE JAY C.","29","ENG","U","0","-","N","N"
"HISTO 11","B1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","D 0930-1100(FULLY ONSITE)","BEL-208","BANASIHAN, MA. ESTELA E.","29","ENG","U","0","-","N","N"
"HISTO 11","C","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","D 1100-1230(FULLY ONSITE)","BEL-208","BANASIHAN, MA. ESTELA E.","29","ENG","U","0","-","N","N"
"HISTO 11","D","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","D 1230-1400(FULLY ONSITE)","BEL-208","REBATO, Diego Jr.","29","ENG","U","0","-","N","N"
"HISTO 11","I","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","B-209; B-209","LOZADA, DAVID III O.","50","ENG","U","0","-","N","N"
"HISTO 11","J","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","B-209; B-209","LOZADA, DAVID III O.","50","ENG","U","0","-","N","N"
"HISTO 12","A","READINGS IN PHILIPPINE HISTORY","3","D 0800-0930(FULLY ONSITE)","BEL-209","UBALDO, ABEL A.","30","ENG","U","0","-","N","N"
"HISTO 12","B","READINGS IN PHILIPPINE HISTORY","3","D 0930-1100(FULLY ONSITE)","BEL-209","UBALDO, ABEL A.","30","ENG","U","0","-","N","N"
"HISTO 12","C","READINGS IN PHILIPPINE HISTORY","3","D 1100-1230(FULLY ONSITE)","BEL-103C","BUNAG, MA. CRISELDA DANA P.","30","ENG","U","0","-","N","N"
"HISTO 12","C1","READINGS IN PHILIPPINE HISTORY","3","D 1100-1230(FULLY ONSITE)","BEL-209","CRUZ-CLAUDIO, Valerie May","30","ENG","U","0","-","N","N"
"HISTO 12","D","READINGS IN PHILIPPINE HISTORY","3","D 1230-1400(FULLY ONSITE)","BEL-103C","BUNAG, MA. CRISELDA DANA P.","30","ENG","U","0","-","N","N"
"HISTO 12","D1","READINGS IN PHILIPPINE HISTORY","3","D 1230-1400(FULLY ONSITE)","BEL-209","CRUZ-CLAUDIO, Valerie May","30","ENG","U","0","-","N","N"
"HISTO 12","E","READINGS IN PHILIPPINE HISTORY","3","D 1400-1530(FULLY ONSITE)","BEL-103C","CABALQUINTO, Alvin","30","ENG","U","0","-","N","N"
"HISTO 12","E1","READINGS IN PHILIPPINE HISTORY","3","D 1400-1530(FULLY ONSITE)","BEL-208","GULINAO, Marie Beatriz","30","ENG","U","0","-","N","N"
"HISTO 12","E3","READINGS IN PHILIPPINE HISTORY","3","D 1400-1530(FULLY ONSITE)","BEL-209","NAZARENO, ISABEL CONSUELO A.","30","ENG","U","0","-","N","N"
"HISTO 12","F","READINGS IN PHILIPPINE HISTORY","3","D 1530-1700(FULLY ONSITE)","BEL-103C","CABALQUINTO, Alvin","30","ENG","U","0","-","N","N"
"HISTO 12","F1","READINGS IN PHILIPPINE HISTORY","3","D 1530-1700(FULLY ONSITE)","BEL-208","REBATO, Diego Jr.","30","ENG","U","0","-","N","N"
"HISTO 12","F3","READINGS IN PHILIPPINE HISTORY","3","D 1530-1700(FULLY ONSITE)","BEL-209","GULINAO, Marie Beatriz","30","ENG","U","0","-","N","N"
"HISTO 197","SXS1","PRACTICUM","3","SAT 0800-1100; SAT 1230-1700(FULLY ONSITE)","B-209; B-209","SANTOS, FRANZ JAN S.","5","ENG","U","2","-","N","N"
"HISTO 230.06","H","SPECIAL TOPICS IN ASIAN HISTORY:  JAPANESE HISTORY","3","D 1830-2000(FULLY ONSITE)","B-209","SANTOS, KRISTINE MICHELLE L.","6","ENG","G","1","-","N","N"
