"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"LAS 20","J","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","SOM 205; SOM 205","TRIVIÑO, Jyro","38","ENG","U","1","ALL SLOTS FOR BS REnt MAJORS.","N","N"
"LAS 20","SXS2","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","SAT 0800-1230; SAT 1400-1700(FULLY ONSITE)","CTC 103; CTC 103","BAUTISTA, Noreen Marian","33","ENG","U","13","ALL SLOTS FOR BS ITE MAJORS.","N","N"
"LAS 50.2i","I","INTERDISCIPLINARY ISSUES IN SPORT MANAGEMENT","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","SOM 302; SOM 302","PUEN, DAVID ALLEN Y.","25","ENG","U","0","**INTERDISCIPLINARY ELECTIVE","N","N"
"LAS 50.2i","J","INTERDISCIPLINARY ISSUES IN SPORT MANAGEMENT","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","SOM 302; SOM 302","PUEN, DAVID ALLEN Y.","25","ENG","U","0","*INTERDISCIPLINARY ELECTIVE","N","N"
"LAS 111","I","STRATEGIC HUMAN RESOURCE MANAGEMENT","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","SOM 211; SOM 211","TRIVIÑO, Jyro","30","ENG","U","0","25 SLOT(S) FOR BS ITE MAJORS.","N","N"
"LAS 111","N","STRATEGIC HUMAN RESOURCE MANAGEMENT","3","F 1200-1600; T 1130-1500(FULLY ONSITE)","CTC 407; CTC 407","LIZARES, ROBERT EDRIC JOSEF R.","33","ENG","U","10","28 SLOT(S) FOR BS ITE MAJORS.","N","N"
"LAS 112.73i","SXW1","LEADING TEAMS FOR INNOVATION","3","W 0800-1100; W 1230-1700(FULLY ONSITE)","SOM 302; SOM 302","CANCINO, Mark Joseph","30","ENG","U","0","*INTERDISCIPLINARY ELECTIVE","N","N"
"LAS 115","N","LEADING AND MANAGING CHANGE","3","F 1200-1600; T 1130-1500(FULLY ONSITE)","SOM 302; SOM 302","CASINO, Renee Rose","25","ENG","U","20","-","N","N"
"LAS 123.73","SXS2","STRATEGIC ISSUES IN DOING BUSINESS IN THE ASEAN CONTEXT","3","SAT 0800-1230; SAT 1400-1700(FULLY ONSITE)","SEC-A202; SEC-A202","LUMAIN, Joseph Daniel","25","ENG","U","19","-","N","N"
"LAS 123","J","INTERNATIONAL BUSINESS AND TRADE","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","CTC 407; CTC 407","SUGAY, Clayton","30","ENG","U","0","ALL SLOTS FOR BS ME MAJORS. *Paired with QUANT 192 Section H and H1","N","N"
"LAS 123","K","INTERNATIONAL BUSINESS AND TRADE","3","M 1500-1830; TH 1600-2000(FULLY ONSITE)","SOM 205; SOM 205","LUMAIN, Joseph Daniel","27","ENG","U","4","ALL SLOTS FOR BS ME MAJORS.","N","N"
"LAS 123","SXS2","INTERNATIONAL BUSINESS AND TRADE","3","SAT 0800-1230; SAT 1400-1700(FULLY ONSITE)","CTC 204; CTC 204","LEE HOK, PAUL JOHN T.","25","ENG","U","0","ALL SLOTS FOR BS ME MAJORS.","N","N"
"LAS 123","SXS2K","INTERNATIONAL BUSINESS AND TRADE","3","SAT 0800-1230; TH 1600-1900(FULLY ONSITE)","CTC 101; CTC 101","MORADA, Kevin Henry","20","ENG","U","0","ALL SLOTS FOR BS ME MAJORS.","N","N"
"LAS 197.20","SXS1","WORK PRACTICUM","3","SAT 0800-1100; SAT 1230-1700(FULLY ONSITE)","SOM 302; SOM 302","CARONOÑGAN, MARIJO M.","28","ENG","U","8","ALL SLOTS FOR 4TH YEAR BS COMTECH MAJORS.","N","N"
"LAS 197.20","SXS1O","WORK PRACTICUM","3","F 1600-1900; SAT 1230-1700(FULLY ONSITE)","CTC 203; CTC 203","SIOJO, MANOLET M.","30","ENG","U","0","ALL SLOTS FOR BS LM MAJORS.","N","N"
"LAS 197.20","SXS1T","WORK PRACTICUM","3","SAT 1230-1700; T 1700-2000(FULLY ONSITE)","CTC 101; CTC 101","MORADA, Kevin Henry","28","ENG","U","6","ALL SLOTS FOR BS MGT-H MAJORS. ALL SLOTS FOR CROSS REG-IXS MAJORS. *All slots for NUS exchange students","N","N"
"LAS 197.20","SXS1a","WORK PRACTICUM","3","SAT 0800-1100; SAT 1230-1700(FULLY ONSITE)","CTC 407; CTC 407","DURAN, Benedict James","28","ENG","U","0","ALL SLOTS FOR 4TH YEAR BS COMTECH MAJORS.","N","N"
"LAS 197.20","SXS1b","WORK PRACTICUM","3","SAT 0800-1100; SAT 1230-1700(FULLY ONSITE)","SOM 103; SOM 103","AMANTE, HELEN U.","28","ENG","U","0","ALL SLOTS FOR 4TH YEAR BS COMTECH MAJORS.","N","N"
"LAS 197.20","SXS2","WORK PRACTICUM","3","SAT 0800-1230; SAT 1400-1700(FULLY ONSITE)","SOM 211; SOM 211","LOPEZ, GABRIEL MARIA J.","28","ENG","U","0","ALL SLOTS FOR BS COMTECH MAJORS.","N","N"
"LAS 197.20","SXS2K","WORK PRACTICUM","3","SAT 0800-1230; TH 1600-1900(FULLY ONSITE)","CTC 112; CTC 202","SIOJO, MANOLET M.","28","ENG","U","2","ALL SLOTS FOR BS LM MAJORS.","N","N"
"LAS 197.20","SXS2a","WORK PRACTICUM","3","SAT 0800-1230; SAT 1400-1700(FULLY ONSITE)","CTC 106; CTC 106","BARCENA, Jan Arvin","28","ENG","U","0","ALL SLOTS FOR BS COMTECH MAJORS.","N","N"
"LAS 197.20","SXW1S1","WORK PRACTICUM","3","SAT 1230-1700; W 0800-1100(FULLY ONSITE)","SOM 205; SOM 205","DE GUZMAN, Marie Catherine","30","ENG","U","0","ALL SLOTS FOR BS LM MAJORS.","N","N"
"LAS 197.20","SXW1S2","WORK PRACTICUM","3","SAT 0800-1230; W 1400-1700(FULLY ONSITE)","CTC 107; CTC 107","DE GUZMAN, Marie Catherine","30","ENG","U","0","ALL SLOTS FOR BS LM MAJORS.","N","N"
"LAS 197.33","SX","WORK PRACTICUM","1.5","SAT 0800-1145(FULLY ONSITE)","CTC 202","VERGARA, Leofel","25","ENG","U","0","ALL SLOTS FOR BS REnt MAJORS.","N","N"
"LAS 197.33","SX1","WORK PRACTICUM","1.5","SAT 1200-1545(FULLY ONSITE)","CTC 216","VERGARA, Leofel","25","ENG","U","1","ALL SLOTS FOR BS REnt MAJORS.","N","N"
"LAS 197.34","SXW","WORK PRACTICUM","1.5","W 0800-1145(FULLY ONSITE)","CTC 305","VERGARA, Leofel","25","ENG","U","1","ALL SLOTS FOR BS REnt MAJORS.","N","N"
"SOMGT 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"SOMGT 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","48","-","N","N"
"SOMGT 396","COMP","COMPREHENSIVE EXAM","0","TBA(~)","TBA","TBA, -","50","ENG","G","48","-","N","N"
