"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"MATH 10","C","MATHEMATICS IN THE MODERN WORLD","3","D 1100-1230(FULLY ONSITE)","SEC-A208","HAO, Lester, MUGA II, FELIX P.","30","ENG","U","0","-","N","N"
"MATH 10","E","MATHEMATICS IN THE MODERN WORLD","3","D 1400-1530(FULLY ONSITE)","SEC-A214","DOMINGO, EURLYNE J.","30","ENG","U","16","-","N","N"
"MATH 21","D","UNIVERSITY PRECALCULUS","3","D 1230-1400(FULLY ONSITE)","SEC-A208","GARCES, IAN JUNE L.","30","ENG","U","0","-","N","N"
"MATH 21","F","UNIVERSITY PRECALCULUS","3","D 1530-1700(FULLY ONSITE)","SEC-A208","GARCES, IAN JUNE L.","30","ENG","U","5","-","N","N"
"MATH 30.13","C","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS I","3","D 1100-1230(FULLY ONSITE)","SEC-A209","DE LAS PENAS, MA. LOUISE ANTONETTE N.","30","ENG","U","6","-","N","N"
"MATH 30.13","D","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS I","3","D 1230-1400(FULLY ONSITE)","SEC-A210","DOMINGO, EURLYNE J.","30","ENG","U","0","-","N","N"
"MATH 30.13","E","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS I","3","D 1400-1530(FULLY ONSITE)","SEC-A209","DE LAS PENAS, MA. LOUISE ANTONETTE N.","30","ENG","U","3","-","N","N"
"MATH 30.14","B1","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS II","3","D 0930-1100(FULLY ONSITE)","SEC-A210","DAVID, RODEN JASON A.","36","ENG","U","0","-","N","N"
"MATH 30.14","B2","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS II","3","D 0930-1100(FULLY ONSITE)","SEC-A215","DAYAO, PAUL L.","36","ENG","U","0","-","N","N"
"MATH 30.14","C1","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS II","3","D 1100-1230(FULLY ONSITE)","SEC-A210","DAVID, RODEN JASON A.","35","ENG","U","0","-","N","N"
