"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"PH 102","ZZZ1","PHILOSOPHY OF THE HUMAN PERSON II","3","TUTORIAL 0000-0000(FULLY ONSITE)","PH DEPT","LAGLIVA, ALBERT M.","1","FIL","U","0","-","N","N"
"PHILO 182.03","YYY1","PHILOSOPHY OF THE CITY","3","TBA(FULLY ONSITE)","CTC 202","BARBAZA, REMMON E.","20","ENG","U","15","*June 5, 930 - 1100; June 17 - 28, Mondays to Fridays, 930 - 1100; July 1 -12, Mondays to Fridays, individual schedule to be arranged. With online sessions.","N","N"
"PHILO 234","YYY1","PHILOSOPHICAL PERSPECTIVES:  SEMINAR IN ETHICAL THEORIES","3","TBA(FULLY ONSITE)","CTC 202","CLEMENTE, NOEL L.","15","ENG","G","11","*MWF 1700 to 1930","N","N"
"PHILO 237","YYY1","SOCIAL PHILOSOPHY","3","TBA(FULLY ONSITE)","CTC 202","CAPISTRANO, PAMELA JOY M.","15","ENG","G","11","*Sat 0800-1100 and 1230-1700/Philosophical Foundations of the Capability Approach","N","N"
"PHILO 259","YYY","PHILOSOPHY OF THE CITY","3","TBA(FULLY ONSITE)","CTC 202","BARBAZA, REMMON E.","20","ENG","G","14","*June 5, 930 - 1100; June 17 - 28, Mondays to Fridays, 930 - 1100; July 1 -12, Mondays to Fridays, individual schedule to be arranged. With online sessions.","N","N"
"PHILO 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"PHILO 299.1","THES/DISS","THESIS I","0","TBA(~)","TBA","IBANA, RAINIER A.","50","ENG","G","49","-","N","N"
"PHILO 299.2","THES/DISS","THESIS II","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHILO 299.2","THES1","THESIS II","0","TBA(FULLY ONSITE)","PH DEPT","DY, JR., MANUEL B.","5","ENG","G","4","-","N","N"
"PHILO 299.2","THES2","THESIS II","0","TBA(FULLY ONSITE)","PH DEPT","LAGLIVA, ALBERT M.","5","ENG","G","4","-","N","N"
"PHILO 299.2","THES3","THESIS II","0","TBA(FULLY ONSITE)","PH DEPT","PALACIOS, ROWENA ANTHEA A.","5","ENG","G","5","-","N","N"
"PHILO 299.2","THES4","THESIS II","0","TBA(FULLY ONSITE)","PH DEPT","IBANA, RAINIER A.","5","ENG","G","5","-","N","N"
"PHILO 299.6","SUB-A","FINAL PAPER SUBMISSION (MASTERS)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHILO 299.7","SUB-B","FINAL PAPER SUBMISSION (MASTERS)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHILO 302","YYY1","ADVANCED THEORIES IN ETHICS","3","TBA(FULLY ONSITE)","CTC 202","CLEMENTE, NOEL L.","15","ENG","G","10","*MWF 1700 to 1930","N","N"
"PHILO 338","YYY","CONTEMPORARY SOCIAL ISSUES","3","TBA(FULLY ONSITE)","CTC 202","CAPISTRANO, PAMELA JOY M.","15","ENG","G","10","*Sat 0800-1100 and 1230-1700/Philosophical Foundations of the Capability Approach","N","N"
"PHILO 396","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHILO 399.1","THES/DISS","DISSERTATION I","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHILO 399.2","THES/DISS","DISSERTATION II","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHILO 399.6","SUB-A","FINAL PAPER SUBMISSION (DOCTORAL)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHILO 399.7","SUB-B","FINAL PAPER SUBMISSION (DOCTORAL)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
