"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ATMOS 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 299.1","THES/DISS","THESIS I","3","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 299.2","THES/DISS","THESIS 2","3","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYS 25.01","YYY","GENERAL PHYSICS I, LECTURE","3","TBA(FULLY ONSITE)","F-318","TBA, -","5","ENG","U","3","-","N","N"
"PHYS 25.02","YYY","GENERAL PHYSICS I, LABORATORY","1","TBA(FULLY ONSITE)","TBA","TBA, -","5","ENG","U","3","*Schedule: M-W-F 1400-1600","N","N"
"PHYS 31.31","C1","ANALYTICAL PHYSICS FOR ENGINEERING 1, LECTURE","3","D 1100-1230(FULLY ONSITE)","TBA","TBA, -","5","ENG","U","5","-","N","N"
"PHYS 31.32","LABEF3","ANALYTICAL PHYSICS FOR ENGINEERING 1, LABORATORY","1","F 1400-1600; M 1400-1600; W 1400-1600(FULLY ONSITE)","SEC-C106A; SEC-C106A; SEC-C106A","TBA, -","5","ENG","U","5","*Schedule: M-W-F 1400-1600","N","N"
"PHYS 33.01","D","ANALYTICAL PHYSICS III, LECTURE","3","D 1230-1400(FULLY ONSITE)","F-304","VARGAS, Noel","20","ENG","U","6","-","N","N"
"PHYS 33.01","D1","ANALYTICAL PHYSICS III, LECTURE","3","D 1230-1400(FULLY ONSITE)","F-116","BLANCAS, PHILIP JORDAN D.","20","ENG","U","0","-","N","N"
"PHYS 33.01","D2","ANALYTICAL PHYSICS III, LECTURE","3","D 1230-1400(FULLY ONSITE)","TBA","DACANAY, RODSON O.","20","ENG","U","0","-","N","N"
"PHYS 33.02","LABBC","ANALYTICAL PHYSICS III, LABORATORY","1","F 1000-1200; M 1000-1200; W 1000-1200(FULLY ONSITE)","SEC-C106A; SEC-C106A; SEC-C106A","TBA, -","20","ENG","U","13","*Schedule: M-W-F 1000-1200","N","N"
"PHYS 33.02","LABBC1","ANALYTICAL PHYSICS III, LABORATORY","1","F 1000-1200; M 1000-1200; W 1000-1200(FULLY ONSITE)","SEC-C105A; SEC-C105A; SEC-C105A","BLANCAS, PHILIP JORDAN D.","20","ENG","U","0","*Schedule:  M-W-F 1000-1200","N","N"
"PHYS 33.02","LABEF","ANALYTICAL PHYSICS III, LABORATORY","1","F 1400-1600; M 1400-1600; W 1400-1600(FULLY ONSITE)","SEC-C106A; SEC-C106A; SEC-C106A","DACANAY, RODSON O.","40","ENG","U","13","*Schedule: M-W-F 1400-1600","N","N"
"PHYS 34.01","D","ANALYTICAL PHYSICS IV, LECTURE","3","D 1230-1400(FULLY ONSITE)","F-106","REX, JAREN RYAN M.","25","ENG","U","13","-","N","N"
"PHYS 34.02","LABEF1","ANALYTICAL PHYSICS IV, LABORATORY","1","F 1500-1700; M 1500-1700; W 1500-1700(FULLY ONSITE)","F-305; F-305; F-305","BLANCAS, PHILIP JORDAN D., VARGAS, Noel","40","ENG","U","28","*Schedule: M-W-F 1500-1700","N","N"
"PHYS 111","B","MATHEMATICAL PHYSICS I","3","D 0930-1100(FULLY ONSITE)","F-106","REX, JAREN RYAN M.","25","ENG","U","8","-","N","N"
"PHYS 180.5i","SXS1","CLIMATE CHANGE AND DISASTER RISK","3","SAT 0800-1100; SAT 1230-1700(FULLY ONSITE)","F-106; F-106","MAQUILING, JOEL T.","40","ENG","U","0","-","N","N"
"PHYS 197","G","PHYSICS IN SOCIETY WITH PRACTICUM","3","D 1700-1830(FULLY ONSITE)","F-106","MAHINAY, CHRISTIAN LORENZ S.","25","ENG","U","16","-","N","N"
"PHYS 199.2","YYY","UNDERGRADUATE THESIS II","1","TBA(FULLY ONSITE)","PS DEPT","BENNETT, CLINT DOMINIC G.","2","ENG","U","1","-","N","N"
"PHYS 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"PHYS 299.1","THES/DISS","THESIS I","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYS 299.2","THES/DISS","THESIS II","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYS 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYS 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYS 396","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYS 399.1","THES/DISS","DISSERTATION I","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYS 399.2","THES/DISS","DISSERTATION II","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"PHYS 399.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYS 399.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYSE 298.1","CAPS","PROJECT I","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYSE 298.2","CAPS","PROJECT II","6","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
