"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"LEAD 396","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"LEAD 399.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"LEAD 399.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PSYC 20","B","GENERAL PSYCHOLOGY","3","D 0930-1100(FULLY ONSITE)","PSY COMP RM","SY, Janine Michelle","15","ENG","U","4","ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS. *ALL SLOTS for accepted shiftees","N","N"
"PSYC 22","J","SOCIAL PSYCHOLOGY","3","M 1130-1500; TH 1200-1600(FULLY ONLINE)","CTC 404; CTC 404","CAMACHO, RYAN ANGELO P.","25","ENG","U","9","ALL SLOTS FOR GRAD STUDENTS.","N","N"
"PSYC 24","I","THEORIES OF PERSONALITY","3","M 0800-1130; TH 0800-1200(FULLY ONLINE)","CTC 404; CTC 404","FILART, Joanne Stefanie","25","ENG","U","11","ALL SLOTS FOR GRAD STUDENTS.","N","N"
"PSYC 50.06i","I","DYNAMICS OF GROUPS IN ORGANIZATIONS","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","G-205A; G-205A","BULILAN, Ed Joseph","30","ENG","U","14","ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS.","N","N"
"PSYC 70.03","M","PSYCHOLOGICAL INTERVENTIONS IN DIVERSE COMMUNITY SITUATIONS","3","F 0800-1200; T 0800-1130(FULLY ONSITE)","SS EXP PSY LAB; SS EXP PSY LAB","HECHANOVA, MA. REGINA M.","30","ENG","U","0","ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS.","N","N"
"PSYC 70.06","J","BASIC COUNSELING PRINCIPLES AND TECHNIQUES FOR INDIVIDUAL AND GROUP SETTINGS","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","SS EXP PSY LAB; SS EXP PSY LAB","ROXAS, Gilana Kim","30","ENG","U","0","ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS.","N","N"
"PSYC 70.07","I","MINDFULNESS-BASED INTERVENTIONS","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","SS EXP PSY LAB; SS EXP PSY LAB","FERNANDEZ, KARINA THERESE G.","20","ENG","U","1","ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS.","N","N"
"PSYC 80.03i","D","INTRODUCTION TO POLITICAL PSYCHOLOGY","3","D 1230-1400(FULLY ONSITE)","G-205A","BULILAN, Ed Joseph","30","ENG","U","0","-","N","N"
"PSYC 90.01","A","PSYCHOLOGICAL STATISTICS, LECTURE","3","D 0800-0930(FULLY ONSITE)","SS-284","DELA PAZ, ERWINE S.","25","ENG","U","6","ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS. *ALL SLOTS for accepted shiftees","N","N"
"PSYC 90.02","DG","PSYCHOLOGICAL STATISTICS, LABORATORY","2","M-TH 1200-1800(FULLY ONSITE)","SS-284","DELA PAZ, ERWINE S.","25","ENG","U","9","*ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS. *ALL SLOTS for accepted shiftees","N","N"
