"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"DECSC 22","D","INTRODUCTION TO DECISION MAKING AND MANAGEMENT SCIENCE","3","D 1230-1400(FULLY ONSITE)","SOM 106","YAP, ALYSON L.","11","ENG","U","5","-","N","N"
"DECSC 25","B","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","D 0930-1100(FULLY ONSITE)","K-201","EVANGELISTA, Abileen","20","ENG","U","13","-","N","N"
"DECSC 25","B1","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","D 0930-1100(FULLY ONSITE)","B-306","BAUTISTA, Therese Isabel","30","ENG","U","0","ALL SLOTS FOR BS ME MAJORS.","N","N"
"DECSC 25","C","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","D 1100-1230(FULLY ONSITE)","B-306","BAUTISTA, Therese Isabel","30","ENG","U","0","ALL SLOTS FOR BS ME MAJORS.","N","N"
"DECSC 25","C1","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","D 1100-1230(FULLY ONSITE)","K-201","EVANGELISTA, Abileen","20","ENG","U","5","-","N","N"
"DECSC 25","E","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","D 1400-1530(FULLY ONSITE)","F-115","TBA, -","30","ENG","U","5","ALL SLOTS FOR BS COMTECH MAJORS. ALL SLOTS FOR BS LM MAJORS. ALL SLOTS FOR BS MAC MAJORS. ALL SLOTS FOR BS MGT MAJORS. ALL SLOTS FOR BS ME MAJORS.","N","N"
"DECSC 25","I","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","SOM 210; SOM 210","MARIANO, ANNALISA MARGARITA V.","36","ENG","U","1","ALL SLOTS FOR BS REnt MAJORS.","N","N"
"DECSC 25","J","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","SEC-A123; SEC-A123","TBA, -","1","ENG","U","0","*This class will be dissolved.","N","N"
"DECSC 25","J1","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","CTC 405; CTC 405","SAMSON, ARAN V.","30","ENG","U","1","ALL SLOTS FOR BS COMTECH MAJORS. ALL SLOTS FOR BS LM MAJORS. ALL SLOTS FOR BS MAC MAJORS. ALL SLOTS FOR BS MGT MAJORS. ALL SLOTS FOR BS ME MAJORS.","N","N"
"DECSC 25","M","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","F 0800-1200; T 0800-1130(FULLY ONSITE)","SOM 211; SOM 211","TBA, -","23","ENG","U","1","ALL SLOTS FOR BS ITE MAJORS.","N","N"
"DECSC 25","M1","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","F 0800-1200; T 0800-1130(FULLY ONSITE)","CTC 403; CTC 403","VERGARA, Leofel","30","ENG","U","1","ALL SLOTS FOR BS COMTECH MAJORS. ALL SLOTS FOR BS LM MAJORS. ALL SLOTS FOR BS MAC MAJORS. ALL SLOTS FOR BS MGT MAJORS. ALL SLOTS FOR BS ME MAJORS.","N","N"
"DECSC 25","N","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","F 1200-1600; T 1130-1500(FULLY ONSITE)","SEC-A202; SEC-A202","SAMSON, ARAN V.","30","ENG","U","2","ALL SLOTS FOR BS COMTECH MAJORS. ALL SLOTS FOR BS LM MAJORS. ALL SLOTS FOR BS MAC MAJORS. ALL SLOTS FOR BS MGT MAJORS. ALL SLOTS FOR BS ME MAJORS.","N","N"
"ITENT 156","K","TECHNOLOGY VENTURE LABORATORY","3","M 1500-1830; TH 1600-2000(FULLY ONSITE)","K-203; K-203","ILAGAN, Jose Ramon, TO, Lois Abigail","18","ENG","U","3","ALL SLOTS FOR 4TH YEAR BS ITE MAJORS. ALL SLOTS FOR 3RD YEAR BS ITE MAJORS.","N","N"
"ITENT 157","K","TECHNOLOGY VENTURE START-UP I","3","M 1500-1830; TH 1600-2000(FULLY ONSITE)","K-202; K-202","DE LA RAMA, Gian Paulo, MONTIEL, Andres","30","ENG","U","9","ALL SLOTS FOR BS ITE MAJORS.","N","N"
"ITENT 157","M","TECHNOLOGY VENTURE START-UP I","3","F 0800-1200; T 0800-1130(FULLY ONSITE)","SEC-A123; SEC-A123","ILAGAN, JOSEPH BENJAMIN R.","15","ENG","U","0","ALL SLOTS FOR BS ITE MAJORS.","N","N"
