"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"STS 10","A","SCIENCE, TECHNOLOGY, AND SOCIETY","3","D 0800-0930(FULLY ONSITE)","F-204","SANTOS, JOHN MICHAEL B.","25","ENG","U","0","-","N","N"
"STS 10","A1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","D 0800-0930(FULLY ONSITE)","G-305","SUPNAD, Myris","30","ENG","U","0","-","N","N"
"STS 10","B","SCIENCE, TECHNOLOGY, AND SOCIETY","3","D 0930-1100(FULLY ONSITE)","B-104","DAYRIT, SOPHIA ANGELI S.","30","ENG","U","0","-","N","N"
"STS 10","B1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","D 0930-1100(FULLY ONSITE)","G-305","ARDA, John Rafael, PETALIO, Syra Marie Norin","30","ENG","U","0","-","N","N"
"STS 10","C","SCIENCE, TECHNOLOGY, AND SOCIETY","3","D 1100-1230(FULLY ONSITE)","F-106","BENNETT, CLINT DOMINIC G.","25","ENG","U","0","-","N","N"
"STS 10","C1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","D 1100-1230(FULLY ONSITE)","G-305","ARDA, John Rafael, PETALIO, Syra Marie Norin","30","ENG","U","1","-","N","N"
"STS 10","D","SCIENCE, TECHNOLOGY, AND SOCIETY","3","D 1230-1400(FULLY ONSITE)","G-305","EUSTAQUIO, MICHELLE PIA D.","30","ENG","U","0","-","N","N"
"STS 10","D1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","D 1230-1400(FULLY ONSITE)","B-104","GONZALEZ, PAOLO ANTONIO G.","30","ENG","U","0","-","N","N"
"STS 10","E1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","D 1400-1530(FULLY ONSITE)","G-305","ZUNIGA, BRIAN KARLO W.","30","ENG","U","0","-","N","N"
"STS 10","F","SCIENCE, TECHNOLOGY, AND SOCIETY","3","D 1530-1700(FULLY ONSITE)","G-305","AQUINO, ANGELO I.","30","ENG","U","2","-","N","N"
