"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"SocSc 12","A","THE CONTEMPORARY WORLD","3","D 0800-0930(FULLY ONSITE)","B-105","GAPPY, JOHN MARTIN B.","26","ENG","U","0","-","N","N"
"SocSc 12","A1","THE CONTEMPORARY WORLD","3","D 0800-0930(FULLY ONSITE)","CTC 202","CLAMOR, Wilfred Luis","27","ENG","U","0","-","N","N"
"SocSc 12","B","THE CONTEMPORARY WORLD","3","D 0930-1100(FULLY ONSITE)","B-105","GAPPY, JOHN MARTIN B.","27","ENG","U","0","-","N","N"
"SocSc 12","B1","THE CONTEMPORARY WORLD","3","D 0930-1100(FULLY ONSITE)","CTC 107","REYES, Rosselle Trishia","27","ENG","U","0","-","N","N"
"SocSc 12","B2","THE CONTEMPORARY WORLD","3","D 0930-1100(FULLY ONSITE)","B-307","ABLETIS, John","26","ENG","U","0","-","N","N"
"SocSc 12","B3","THE CONTEMPORARY WORLD","3","D 0930-1100(FULLY ONSITE)","B-106","CLAMOR, Wilfred Luis","26","ENG","U","0","-","N","N"
"SocSc 12","C","THE CONTEMPORARY WORLD","3","D 1100-1230(FULLY ONSITE)","CTC 206","REYES, Rosselle Trishia","25","ENG","U","0","-","N","N"
"SocSc 12","C3","THE CONTEMPORARY WORLD","3","D 1100-1230(FULLY ONSITE)","CTC 202","TORRES, Wilfredo","25","ENG","U","0","-","N","N"
"SocSc 12","C4","THE CONTEMPORARY WORLD","3","D 1100-1230(FULLY ONSITE)","B-106","TANGARA, Arthur Jr.","26","ENG","U","0","-","N","N"
"SocSc 12","D","THE CONTEMPORARY WORLD","3","D 1230-1400(FULLY ONSITE)","B-307","ABLETIS, John","26","ENG","U","0","-","N","N"
"SocSc 12","D1","THE CONTEMPORARY WORLD","3","D 1230-1400(FULLY ONSITE)","B-106","TANGARA, Arthur Jr.","27","ENG","U","0","-","N","N"
"SocSc 12","D2","THE CONTEMPORARY WORLD","3","D 1230-1400(FULLY ONSITE)","CTC 202","TORRES, Wilfredo","26","ENG","U","0","-","N","N"
"SocSc 12","D3","THE CONTEMPORARY WORLD","3","D 1230-1400(FULLY ONSITE)","SOM 202","SARMIENTO, EMILY R.","25","ENG","U","0","-","N","N"
"SocSc 12","E2","THE CONTEMPORARY WORLD","3","D 1400-1530(FULLY ONSITE)","SOM 202","SARMIENTO, EMILY R.","27","ENG","U","0","-","N","N"
"SocSc 12","M","THE CONTEMPORARY WORLD","3","F 0800-1200; T 0800-1130(FULLY ONSITE)","B-207; B-207","MILLO, Artemio Jr.","25","ENG","U","7","-","N","N"
"SocSc 12","N","THE CONTEMPORARY WORLD","3","F 1200-1600; T 1130-1500(FULLY ONSITE)","B-102; B-102","MILLO, Artemio Jr.","25","ENG","U","9","-","N","N"
"SocSc 14","I","POLITICS, GOVERNANCE, AND CITIZENSHIP","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","SOM 202; SOM 202","BARRETTO, BENJAMIN ROBERTO G.","30","ENG","U","0","-","N","N"
"SocSc 14","J","POLITICS, GOVERNANCE, AND CITIZENSHIP","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","CTC 303; CTC 303","JULIANO, HANSLEY A.","30","ENG","U","0","-","N","N"
"SocSc 14","J1","POLITICS, GOVERNANCE, AND CITIZENSHIP","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","CTC 103; CTC 103","AGUIRRE, ARJAN P.","30","ENG","U","1","-","N","N"
"SocSc 14","J2","POLITICS, GOVERNANCE, AND CITIZENSHIP","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","CTC 215; CTC 215","SUNGA, RICARDO III A.","30","ENG","U","0","-","N","N"
"SocSc 14","M","POLITICS, GOVERNANCE, AND CITIZENSHIP","3","F 0800-1200; T 0800-1130(FULLY ONSITE)","CTC 103; CTC 103","BERSE, PILAR PRECIOUSA P.","30","ENG","U","1","-","N","N"
