"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"TMP 211.04","YYY","INTRODUCTION TO THE OLD TESTAMENT","3","TBA(FULLY ONSITE)","LST","RAMIREZ, S.J., FR. FELIPE FRUTO LL.","40","ENG","G","40","-","N","N"
"TMP 212.04","YYY","INTRODUCTION TO THE NEW TESTAMENT","3","TBA(FULLY ONSITE)","LST","CATAN, Moses Jarvis","40","ENG","G","40","-","N","N"
"TMP 251","YYY","INTRODUCTION TO PASTORAL METHODS","3","TBA(FULLY ONSITE)","LST","ABAIS, S.J., FR. ROGEL ANECITO L.","40","ENG","G","39","-","N","N"
"TMP 255.04","YYY","THE CLASSICS OF WESTERN SPIRITUALITY","3","TBA(FULLY ONSITE)","LST","GODDING, Robert","40","ENG","G","40","-","N","N"
"TMP 258.03","YYY","FOUNDATIONS FOR DIRECTED RETREAT","3","TBA(FULLY ONSITE)","LST","QUILONGQUILONG, SJ, FR. JOSE","15","ENG","G","15","-","N","N"
"TMP 258.04","YYY","FUNDAMENTALS OF DIRECTED RETREAT GIVING","3","TBA(FULLY ONSITE)","LST","QUILONGQUILONG, SJ, FR. JOSE","15","ENG","G","15","-","N","N"
"TMP 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","LST","TBA, -","30","ENG","G","30","-","N","N"
"TMP 299.1","THES/DISS","THESIS I","0","TBA(~)","LST","TBA, -","30","ENG","G","29","-","N","N"
"TMP 299.19","THES/DISS","THESIS PROPOSAL DEFENSE","0","TBA(FULLY ONSITE)","LST","TBA, -","40","ENG","G","38","-","N","N"
"TMP 299.2","THES/DISS","THESIS II","0","TBA(~)","LST","TBA, -","30","ENG","G","28","-","N","N"
"TMP 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","LST","TBA, -","30","ENG","G","28","-","N","N"
"TMP 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"TMP 321.18","YYY","THOMAS AQUINAS","3","TBA(FULLY ONSITE)","LST","ABAIS, S.J., FR. ROGEL ANECITO L.","40","ENG","G","39","-","N","N"
"TMP 321.30","YYY","HAGIOGRAPHY AND THE CONSTRUCTION OF SANCTITY","3","TBA(FULLY ONSITE)","LST","GODDING, Robert","40","ENG","G","35","-","N","N"
"TMP 323.06","YYY","THE THEOLOGY OF THE EUCHARIST","3","TBA(FULLY ONSITE)","LST","DY, S.J., FR. OLIVER G.","40","ENG","G","39","-","N","N"
"TMP 356.04","YYY","VOCATION AND IGNATIUS' SPIRITUAL EXERCISES","3","TBA(FULLY ONSITE)","LST","QUILONGQUILONG, SJ, FR. JOSE","40","ENG","G","39","-","N","N"
"TMP 396","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","LST","TBA, -","30","ENG","G","28","-","N","N"
"TMP 399.1","THES/DISS","DISSERTATION I","0","TBA(~)","LST","TBA, -","30","ENG","G","28","-","N","N"
"TMP 399.19","THES/DISS","DISSERTATION PROPOSAL DEFENSE","0","TBA(FULLY ONSITE)","LST","TBA, -","40","ENG","G","38","-","N","N"
"TMP 399.2","THES/DISS","DISSERTATION II","0","TBA(~)","LST","TBA, -","30","ENG","G","30","-","N","N"
"TMP 399.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","LST","TBA, -","30","ENG","G","30","-","N","N"
"TMP 399.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
